"id","year","educ","agekdbrn"
3,2012,12,32
4,2012,13,24
5,2012,16,24
6,2012,19,25
7,2012,15,23
8,2012,11,17
9,2012,9,18
11,2012,10,22
12,2012,16,26
13,2012,12,20
14,2012,12,16
16,2012,13,25
17,2012,12,28
18,2012,13,21
19,2012,12,34
22,2012,10,25
23,2012,14,23
24,2012,16,28
25,2012,12,37
26,2012,17,27
28,2012,10,33
29,2012,16,27
30,2012,13,22
32,2012,14,28
34,2012,16,34
36,2012,18,33
40,2012,14,17
42,2012,14,27
44,2012,16,27
45,2012,16,34
46,2012,16,22
47,2012,16,22
48,2012,16,35
49,2012,16,23
50,2012,19,26
51,2012,16,29
52,2012,16,29
53,2012,20,37
54,2012,14,33
55,2012,20,33
56,2012,20,30
57,2012,14,23
58,2012,12,21
59,2012,8,18
60,2012,9,18
61,2012,19,19
62,2012,19,23
64,2012,17,42
65,2012,16,33
67,2012,11,17
68,2012,16,36
70,2012,14,30
72,2012,16,25
73,2012,17,38
74,2012,14,31
75,2012,16,33
76,2012,12,26
77,2012,16,29
78,2012,14,26
79,2012,13,25
80,2012,12,19
83,2012,16,35
84,2012,20,32
87,2012,12,26
89,2012,13,29
90,2012,14,30
91,2012,18,27
93,2012,16,27
94,2012,12,33
95,2012,10,17
96,2012,14,20
97,2012,16,30
101,2012,12,29
103,2012,20,21
104,2012,12,20
107,2012,19,28
109,2012,18,20
111,2012,14,23
112,2012,16,31
115,2012,12,24
116,2012,12,27
117,2012,14,19
118,2012,18,35
119,2012,12,22
120,2012,14,22
121,2012,18,30
125,2012,16,19
126,2012,20,18
127,2012,19,39
129,2012,12,18
131,2012,12,25
134,2012,12,21
136,2012,12,20
137,2012,13,15
138,2012,8,22
139,2012,16,25
140,2012,16,35
141,2012,16,29
142,2012,14,34
143,2012,16,30
144,2012,16,24
146,2012,14,26
147,2012,14,20
149,2012,14,25
150,2012,14,35
151,2012,9,15
155,2012,11,19
156,2012,14,19
159,2012,14,32
160,2012,13,18
161,2012,17,28
162,2012,17,34
163,2012,12,27
164,2012,12,33
165,2012,13,28
170,2012,16,38
171,2012,15,30
178,2012,16,30
179,2012,19,30
180,2012,9,22
181,2012,12,23
182,2012,14,20
183,2012,11,19
184,2012,13,37
185,2012,16,28
187,2012,17,28
188,2012,12,21
189,2012,16,31
191,2012,12,41
192,2012,12,25
193,2012,12,38
195,2012,12,19
196,2012,13,19
197,2012,12,18
198,2012,14,21
201,2012,9,19
203,2012,16,19
204,2012,17,20
206,2012,13,17
210,2012,14,21
213,2012,16,26
214,2012,14,19
215,2012,18,22
216,2012,19,32
217,2012,12,39
218,2012,12,26
219,2012,12,17
220,2012,9,21
222,2012,11,17
224,2012,12,21
225,2012,12,19
228,2012,19,27
229,2012,12,25
232,2012,16,25
233,2012,12,18
234,2012,14,27
235,2012,13,21
237,2012,17,18
238,2012,12,16
239,2012,14,30
240,2012,10,21
241,2012,12,27
242,2012,16,26
243,2012,18,31
245,2012,12,32
247,2012,12,25
250,2012,16,19
251,2012,14,34
252,2012,16,23
255,2012,12,22
256,2012,8,18
257,2012,10,28
258,2012,12,23
259,2012,16,25
260,2012,16,28
261,2012,12,30
262,2012,16,31
263,2012,12,21
264,2012,17,35
265,2012,16,31
266,2012,16,27
