"id","year","hrs1","class","region","racehisp"
1,2012,15,"Upper","New England","White"
2,2012,30,"Middle","New England","White"
3,2012,60,"Middle","New England","Hispanic"
10,2012,40,"Working","Middle Atlantic","White"
12,2012,20,"Working","New England","Black"
15,2012,32,"Working","New England","Hispanic"
16,2012,53,"Middle","New England","Black"
17,2012,60,"Working","New England","Hispanic"
18,2012,40,"Middle","Middle Atlantic","Black"
19,2012,40,"Working","Middle Atlantic","Hispanic"
22,2012,12,"Upper","Middle Atlantic","Hispanic"
23,2012,40,"Middle","Middle Atlantic","White"
24,2012,40,"Working","Middle Atlantic","Other"
26,2012,75,"Middle","Middle Atlantic","White"
27,2012,40,"Middle","Middle Atlantic","White"
30,2012,20,"Working","Middle Atlantic","White"
32,2012,40,"Lower","Middle Atlantic","White"
34,2012,40,"Working","Middle Atlantic","Other"
35,2012,40,"Working","Middle Atlantic","White"
36,2012,47,"Working","Middle Atlantic","White"
37,2012,40,"Working","Middle Atlantic","White"
38,2012,40,"Working","Middle Atlantic","Black"
39,2012,30,"Middle","Middle Atlantic","Other"
40,2012,40,"Working","Middle Atlantic","Black"
41,2012,40,"Middle","Middle Atlantic","Other"
43,2012,55,"Middle","Middle Atlantic","White"
44,2012,60,"Upper","Middle Atlantic","White"
45,2012,55,"Upper","Middle Atlantic","White"
48,2012,40,"Upper","Middle Atlantic","White"
51,2012,50,"Working","Middle Atlantic","White"
52,2012,36,"Working","Middle Atlantic","Other"
54,2012,45,"Middle","Middle Atlantic","Hispanic"
55,2012,40,"Middle","Middle Atlantic","White"
57,2012,36,"Working","Middle Atlantic","Hispanic"
63,2012,60,"Working","Middle Atlantic","Other"
64,2012,40,"Working","Middle Atlantic","Black"
67,2012,40,"Working","Middle Atlantic","Black"
68,2012,40,"Working","Middle Atlantic","Black"
69,2012,35,"Middle","Middle Atlantic","White"
70,2012,40,"Working","Middle Atlantic","White"
71,2012,50,"Working","Middle Atlantic","Other"
73,2012,27,"Middle","Middle Atlantic","White"
74,2012,60,"Working","Middle Atlantic","White"
75,2012,50,"Middle","Middle Atlantic","Hispanic"
77,2012,21,"Middle","Middle Atlantic","White"
79,2012,40,"Lower","Middle Atlantic","Hispanic"
80,2012,8,"Working","Middle Atlantic","Hispanic"
82,2012,40,"Working","Middle Atlantic","White"
83,2012,55,"Middle","Middle Atlantic","White"
84,2012,40,"Middle","Middle Atlantic","Other"
85,2012,50,"Middle","Middle Atlantic","White"
86,2012,40,"Working","Middle Atlantic","White"
88,2012,40,"Working","Middle Atlantic","Black"
90,2012,60,"Working","Middle Atlantic","Hispanic"
92,2012,40,"Working","Middle Atlantic","Black"
93,2012,7,"Lower","Middle Atlantic","Other"
96,2012,15,"Working","Middle Atlantic","Hispanic"
97,2012,50,"Middle","Middle Atlantic","White"
99,2012,35,"Middle","Middle Atlantic","Other"
100,2012,25,"Working","Middle Atlantic","White"
104,2012,80,"Working","Middle Atlantic","Hispanic"
106,2012,45,"Working","Middle Atlantic","Hispanic"
107,2012,30,"Middle","Middle Atlantic","White"
110,2012,47,"Middle","Middle Atlantic","White"
111,2012,40,"Middle","Middle Atlantic","Black"
112,2012,35,"Middle","Middle Atlantic","Black"
113,2012,40,"Middle","Middle Atlantic","Other"
114,2012,20,"Middle","New England","White"
115,2012,46,"Middle","New England","White"
116,2012,38,"Middle","New England","White"
118,2012,40,"Middle","New England","White"
122,2012,48,"Middle","West","Hispanic"
123,2012,60,"Upper","West","White"
124,2012,40,"Middle","West","Black"
126,2012,33,"Working","West","Hispanic"
127,2012,45,"Middle","West","White"
128,2012,48,"Middle","West","Hispanic"
129,2012,40,"Working","West","Hispanic"
130,2012,32,"Working","West","Hispanic"
132,2012,46,"Working","West","Hispanic"
134,2012,40,"Working","West","Hispanic"
135,2012,40,"Middle","West","Black"
136,2012,86,"Working","West","Black"
139,2012,40,"Middle","West","Other"
140,2012,40,"Middle","West","Other"
141,2012,25,"Working","West","Black"
142,2012,5,"Working","West","Hispanic"
144,2012,15,"Middle","West","Other"
148,2012,40,"Middle","West","Hispanic"
149,2012,40,"Working","West","Hispanic"
150,2012,40,"Working","West","Hispanic"
151,2012,30,"Working","West","Hispanic"
153,2012,60,"Working","West","Hispanic"
154,2012,40,"Lower","West","Hispanic"
155,2012,24,"Lower","West","Hispanic"
159,2012,41,"Working","West","Hispanic"
160,2012,40,"Working","West","Hispanic"
162,2012,45,"Middle","West","Hispanic"
163,2012,40,"Working","West","Black"
164,2012,60,"Upper","West","White"
165,2012,40,"Lower","West","White"
168,2012,40,"Middle","West","Hispanic"
169,2012,20,"Middle","West","Hispanic"
170,2012,43,"Middle","West","White"
172,2012,20,"Lower","West","White"
176,2012,57,"Middle","West","Hispanic"
177,2012,16,"Upper","West","White"
179,2012,40,"Middle","West","White"
180,2012,50,"Working","West","Hispanic"
182,2012,40,"Working","West","Hispanic"
183,2012,60,"Working","West","Hispanic"
186,2012,45,"Middle","West","White"
187,2012,40,"Middle","West","White"
188,2012,40,"Working","West","Hispanic"
189,2012,40,"Middle","West","Other"
190,2012,28,"Middle","West","Hispanic"
192,2012,45,"Working","West","White"
194,2012,50,"Middle","West","White"
198,2012,60,"Working","West","Hispanic"
200,2012,40,"Working","West","Hispanic"
201,2012,8,"Middle","West","Hispanic"
202,2012,30,"Middle","West","White"
205,2012,45,"Working","West","Hispanic"
206,2012,30,"Middle","West","Black"
207,2012,40,"Middle","West","Other"
209,2012,30,"Working","West","Hispanic"
210,2012,89,"Working","West","White"
211,2012,40,"Working","West","Hispanic"
212,2012,56,"Lower","West","Hispanic"
213,2012,40,"Working","West","Black"
215,2012,36,"Middle","West","White"
216,2012,45,"Middle","West","White"
219,2012,20,"Working","West","Hispanic"
221,2012,40,"Working","West","Hispanic"
224,2012,24,"Working","Midwest","Hispanic"
225,2012,18,"Middle","Midwest","White"
226,2012,55,"Working","Midwest","White"
229,2012,40,"Working","Midwest","Hispanic"
231,2012,45,"Middle","Midwest","White"
234,2012,32,"Upper","Midwest","Black"
235,2012,30,"Middle","Midwest","Black"
237,2012,35,"Middle","Midwest","Black"
238,2012,50,"Working","Midwest","Hispanic"
241,2012,65,"Middle","Midwest","White"
242,2012,50,"Upper","Midwest","White"
244,2012,55,"Upper","Midwest","White"
247,2012,30,"Working","Midwest","Hispanic"
249,2012,40,"Working","Midwest","Hispanic"
250,2012,40,"Working","Midwest","Hispanic"
251,2012,24,"Middle","Midwest","White"
253,2012,40,"Working","Midwest","Black"
254,2012,60,"Working","Midwest","Hispanic"
255,2012,40,"Working","Midwest","Hispanic"
257,2012,40,"Lower","Midwest","Black"
258,2012,38,"Working","Midwest","Hispanic"
262,2012,46,"Middle","Midwest","White"
264,2012,35,"Middle","Midwest","White"
266,2012,60,"Middle","Midwest","White"
270,2012,40,"Middle","Midwest","White"
271,2012,40,"Working","Midwest","White"
272,2012,45,"Working","Midwest","White"
273,2012,49,"Middle","Midwest","White"
278,2012,55,"Middle","South","White"
279,2012,40,"Middle","South","White"
280,2012,60,"Middle","South","White"
282,2012,70,"Middle","South","White"
283,2012,89,"Working","South","White"
285,2012,40,"Middle","South","White"
286,2012,40,"Middle","South","White"
287,2012,16,"Working","South","White"
289,2012,40,"Middle","South","Black"
290,2012,50,"Working","South","Hispanic"
291,2012,42,"Working","South","Black"
295,2012,70,"Middle","South","White"
296,2012,45,"Working","South","Black"
298,2012,10,"Working","South","White"
299,2012,40,"Middle","South","White"
300,2012,32,"Middle","South","White"
301,2012,46,"Working","South","White"
304,2012,44,"Middle","South","White"
305,2012,40,"Middle","South","White"
307,2012,60,"Middle","South","White"
310,2012,40,"Working","South","Black"
311,2012,39,"Middle","South","White"
313,2012,40,"Upper","South","White"
314,2012,45,"Middle","South","White"
315,2012,40,"Middle","South","White"
316,2012,25,"Middle","South","White"
318,2012,35,"Working","South","Hispanic"
319,2012,55,"Middle","South","Black"
320,2012,40,"Lower","South","Black"
322,2012,40,"Working","South","Black"
323,2012,40,"Working","South","White"
324,2012,60,"Working","South","Hispanic"
327,2012,38,"Working","New England","Black"
328,2012,85,"Upper","New England","White"
329,2012,50,"Middle","New England","White"
330,2012,8,"Middle","New England","White"
331,2012,40,"Middle","New England","White"
332,2012,72,"Middle","New England","White"
335,2012,48,"Working","New England","White"
338,2012,50,"Middle","New England","White"
340,2012,25,"Middle","New England","White"
341,2012,20,"Upper","New England","White"
344,2012,40,"Working","New England","White"
346,2012,30,"Working","New England","White"
347,2012,55,"Middle","New England","Hispanic"
349,2012,34,"Working","New England","White"
350,2012,40,"Working","New England","Other"
351,2012,32,"Working","New England","White"
354,2012,50,"Middle","New England","White"
355,2012,41,"Working","New England","White"
357,2012,20,"Middle","New England","White"
358,2012,37,"Middle","New England","White"
359,2012,60,"Middle","New England","White"
364,2012,40,"Working","New England","Hispanic"
368,2012,64,"Working","New England","White"
369,2012,50,"Working","New England","White"
374,2012,60,"Working","New England","White"
375,2012,40,"Working","New England","White"
377,2012,45,"Middle","West","White"
378,2012,5,"Middle","West","White"
379,2012,20,"Middle","West","Other"
380,2012,44,"Middle","West","White"
381,2012,45,"Middle","West","Other"
383,2012,30,"Middle","West","Other"
385,2012,40,"Middle","West","White"
388,2012,38,"Working","West","Hispanic"
392,2012,40,"Middle","West","Black"
393,2012,40,"Middle","West","White"
394,2012,32,"Middle","West","White"
395,2012,60,"Working","West","Hispanic"
396,2012,45,"Working","West","Hispanic"
397,2012,42,"Working","West","Other"
398,2012,25,"Working","West","Black"
400,2012,50,"Upper","West","White"
401,2012,55,"Middle","West","White"
402,2012,45,"Working","West","Other"
405,2012,40,"Upper","West","Hispanic"
408,2012,50,"Middle","West","White"
411,2012,20,"Working","West","Hispanic"
412,2012,50,"Middle","West","White"
413,2012,12,"Middle","West","White"
414,2012,32,"Working","West","White"
416,2012,16,"Working","West","White"
418,2012,9,"Working","West","White"
419,2012,27,"Working","Midwest","Black"
420,2012,40,"Working","Midwest","Black"
421,2012,40,"Middle","Midwest","White"
423,2012,33,"Working","Midwest","White"
424,2012,60,"Middle","Midwest","White"
425,2012,70,"Working","Midwest","Black"
428,2012,40,"Working","Midwest","White"
429,2012,50,"Upper","Midwest","White"
432,2012,45,"Middle","Midwest","White"
434,2012,65,"Working","Midwest","White"
435,2012,50,"Middle","Midwest","White"
436,2012,80,"Middle","Midwest","Hispanic"
437,2012,55,"Middle","Midwest","White"
443,2012,40,"Working","Midwest","Black"
444,2012,40,"Working","Midwest","Black"
445,2012,45,"Working","Midwest","Hispanic"
446,2012,50,"Middle","Midwest","White"
447,2012,40,"Working","Midwest","Black"
448,2012,35,"Working","Midwest","White"
451,2012,40,"Middle","South","White"
452,2012,40,"Working","South","Black"
453,2012,40,"Middle","South","White"
454,2012,40,"Middle","South","White"
455,2012,38,"Working","South","White"
457,2012,12,"Working","South","White"
458,2012,40,"Working","South","Hispanic"
459,2012,40,"Middle","Middle Atlantic","Other"
460,2012,15,"Middle","Middle Atlantic","White"
461,2012,55,"Middle","Middle Atlantic","White"
463,2012,41,"Middle","Middle Atlantic","White"
464,2012,45,"Middle","Middle Atlantic","White"
466,2012,40,"Middle","Middle Atlantic","White"
467,2012,60,"Middle","Middle Atlantic","White"
468,2012,40,"Working","Middle Atlantic","Other"
469,2012,55,"Working","Middle Atlantic","White"
470,2012,40,"Middle","Middle Atlantic","Other"
472,2012,50,"Working","Middle Atlantic","Black"
473,2012,16,"Lower","Middle Atlantic","Black"
474,2012,38,"Working","Middle Atlantic","Black"
476,2012,20,"Lower","Middle Atlantic","Black"
477,2012,12,"Middle","Middle Atlantic","White"
478,2012,42,"Working","Middle Atlantic","White"
479,2012,18,"Lower","Middle Atlantic","White"
480,2012,45,"Working","Middle Atlantic","White"
481,2012,35,"Middle","Middle Atlantic","White"
483,2012,40,"Working","Middle Atlantic","Hispanic"
487,2012,30,"Upper","Midwest","White"
488,2012,40,"Working","Midwest","Black"
489,2012,40,"Working","Midwest","Black"
490,2012,48,"Middle","Midwest","White"
492,2012,40,"Middle","Midwest","Black"
495,2012,60,"Middle","Midwest","White"
496,2012,80,"Working","Midwest","White"
497,2012,48,"Middle","Midwest","Hispanic"
498,2012,62,"Working","Midwest","Hispanic"
499,2012,48,"Working","Midwest","Hispanic"
500,2012,40,"Working","Midwest","Hispanic"
502,2012,60,"Working","Midwest","White"
504,2012,40,"Working","Midwest","Hispanic"
505,2012,45,"Working","Midwest","Hispanic"
508,2012,60,"Middle","Midwest","White"
509,2012,40,"Middle","Midwest","White"
511,2012,24,"Working","South","Black"
515,2012,45,"Working","South","White"
517,2012,30,"Middle","South","White"
518,2012,8,"Lower","South","Hispanic"
519,2012,16,"Working","South","Hispanic"
521,2012,40,"Working","South","Black"
524,2012,30,"Working","South","Black"
525,2012,20,"Middle","South","Hispanic"
526,2012,40,"Lower","South","Black"
528,2012,20,"Working","South","Hispanic"
530,2012,55,"Working","South","Black"
531,2012,70,"Working","South","Other"
532,2012,50,"Middle","South","Black"
533,2012,35,"Working","South","White"
536,2012,60,"Middle","South","White"
537,2012,40,"Middle","South","White"
538,2012,20,"Middle","South","White"
539,2012,24,"Working","South","White"
543,2012,40,"Working","South","Hispanic"
544,2012,35,"Working","South","Black"
545,2012,40,"Working","South","Black"
546,2012,35,"Working","South","Black"
548,2012,40,"Middle","South","Black"
549,2012,40,"Middle","South","Hispanic"
550,2012,32,"Working","South","White"
552,2012,30,"Middle","South","Black"
553,2012,45,"Working","South","White"
557,2012,30,"Middle","South","Black"
559,2012,40,"Middle","South","White"
560,2012,40,"Working","South","Hispanic"
