"age","born","opwlth","oppared","opeduc","opclout","oprace","oprelig","opsex","yearsusa","ophrdwrk_essential","opknow_essential"
65,"Native","Fairly Important","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
60,"Native","Fairly Important","Very Important","Essential",NA,NA,"Not Important At All",NA,NA,1,0
NA,"Immigrant",NA,NA,NA,NA,NA,NA,NA,25,NA,NA
33,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Immigrant",NA,NA,NA,NA,NA,NA,NA,15,NA,NA
NA,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"Native","Not Very Important","Very Important","Very Important","Not Important At All","Very Important","Not Important At All","Not Important At All",NA,0,0
61,"Immigrant","Very Important","Very Important","Essential","Very Important","Very Important","Fairly Important","Fairly Important",44,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"Immigrant","Fairly Important","Essential","Essential","Essential","Not Very Important","Not Very Important","Not Very Important",15,1,1
71,"Native","Very Important","Fairly Important","Essential","Fairly Important","Very Important","Not Very Important","Very Important",NA,1,1
21,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"Native","Not Important At All","Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
65,"Immigrant","Essential","Very Important","Very Important","Essential","Not Important At All","Not Important At All","Not Important At All",50,0,1
56,"Native","Not Very Important","Not Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All","Not Important At All",NA,1,0
22,"Native","Very Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important","Fairly Important",NA,0,0
33,"Immigrant",NA,NA,NA,NA,NA,NA,NA,5,NA,NA
NA,"Native","Not Important At All","Fairly Important","Very Important","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
31,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Native","Fairly Important","Not Very Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",NA,1,0
33,"Native","Fairly Important","Fairly Important","Essential","Fairly Important","Very Important","Not Important At All","Not Important At All",NA,1,0
37,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"Native","Fairly Important","Fairly Important","Very Important","Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,0
43,"Immigrant","Fairly Important","Very Important","Fairly Important","Very Important","Very Important","Not Very Important","Fairly Important",21,0,0
44,"Immigrant",NA,NA,NA,NA,NA,NA,NA,28,NA,NA
32,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"Native","Very Important","Fairly Important","Very Important","Fairly Important","Not Very Important","Not Important At All","Not Important At All",NA,0,0
30,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"Immigrant",NA,NA,NA,NA,NA,NA,NA,23,NA,NA
53,"Native","Not Important At All","Not Very Important","Very Important","Not Important At All","Not Very Important","Not Important At All","Not Very Important",NA,1,0
NA,"Native","Not Important At All","Fairly Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,0,0
62,"Native","Not Very Important","Not Very Important","Essential","Not Very Important","Not Important At All","Not Important At All","Not Important At All",NA,1,1
62,"Native","Fairly Important","Fairly Important","Essential","Fairly Important",NA,"Not Important At All","Not Important At All",NA,0,0
42,"Native",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
