"name","par_median"
"Vaughn College Of Aeronautics And Technology",30900
"CUNY Bernard M. Baruch College",42800
"City College Of New York - CUNY",35500
"CUNY Lehman College",32500
"California State University, Los Angeles",36600
"CUNY John Jay College Of Criminal Justice",41800
"MCPHS University",83300
"Pace University",68600
"State University Of New York At Stony Brook",73600
"New York City College Of Technology Of The City University Of New",33500
"ITI Technical College",56000
"Texas A&M International University",35400
"CUNY Brooklyn College",52200
"Technical Career Institutes",29700
"University Of Texas - Pan American",31700
"CUNY Hunter College",49800
"Crimson Technical College",44700
"Wood Tobe - Coburn School",29500
"United Talmudical Seminary",21200
"CUNY Queens College",63300
"Glendale Community College",40100
"South Texas College",23900
"California State Polytechnic University, Pomona",80200
"University Of Texas At El Paso",42400
"CUNY York College",36500
"Saint John's University of Queens, NY",69200
"University Of California, Irvine",92100
"Trocaire College",65400
"Western Technical College of El Paso, TX",30500
"Laredo Community College",27400
"University Of Texas At Brownsville",26400
"Saint Francis College",70500
"CUNY, Hostos Community College",26700
"New Jersey Institute Of Technology",84000
"Mount St. Mary's College",48500
"Woodbury University",61900
"California State University, Northridge",61100
"CUNY Borough Of Manhattan Community College",33500
"Texas State Technical College Harlingen",29100
"CUNY Laguardia Community College",33800
"Bloomfield College",40800
"University Of California, Riverside",75000
"CUNY Bronx Community College",29700
"College Of Mount Saint Vincent And Manhattan College",94800
"Berkeley College of New York, NY",42500
"Tulsa Welding School",43900
"Southwest Texas Junior College",28100
"California State University, Dominguez Hills",45600
"University Of California, Los Angeles",105500
"Hallmark College Of Technology",42400
"Queensborough Community College-CUNY",42200
"Long Island University System",59000
"Albertus Magnus College",68600
"Saint Peter's University",59700
"San Jose State University",91700
"New York Institute Of Technology",78500
"New Jersey City University",51600
"Texas A&M University - Kingsville",47700
"Xavier University Of Louisiana",63100
"Sul Ross State University",45000
"Tuskegee University",54400
"Florida International University",66700
"Saint Mary's University",76700
"Binghamton University",104400
"CUNY Medgar Evers College",35100
"SUNY College At Old Westbury",48400
"California Maritime Academy",113100
"Dillard University",42600
"Utica College",67500
"Kingsborough Commmunity College/CUNY",40700
"Dowling College",71500
"University Of Houston System",65700
"University Of California, Berkeley",114700
"Midland College",58600
"University Of California, San Diego",111300
"Imperial Valley College",34300
"Pasadena City College",44600
"California State University, Fullerton",83300
"El Paso Community College",29200
"Reid State Technical College",34600
"Lamar Institute Of Technology",52600
"Odessa College",50900
"Robert Morgan And Miami Lakes Educational Centers",32200
"Grambling State University",34300
"Miami Dade Community College System",37000
"California State University, Bakersfield",67700
"Art Center College Of Design",84800
"Saint Thomas University",37500
"Texas State Technical College West Texas",41000
"Triangle Tech",55800
"University Of California, Davis",109400
"California State University, Long Beach",85800
"California State University, San Bernardino",69800
"Santa Monica College",51300
"California State University, East Bay",86000
"New Mexico Junior College",50000
"Southern University And Agricultural & Mechanical Colg At Baton R",38600
"Stevens Institute Of Technology",96000
"Cooper Union For The Advancement Of Science & Art",110100
"Union College of Barbourville, KY",56400
"Devry University, Devry Institute Of Technology And Denver Technical College",56300
"Otis College Of Art & Design",80500
"University Of The Pacific",96500
"Alabama Agricultural & Mechanical University",44500
"Thomas A Edison State College",79300
"Coyne College",44200
"New Castle School Of Trades",50400
"California State University, Fresno",72400
"Spartan College Of Aeronautics And Technology",62100
"College Of Staten Island/CUNY",73500
"Dickinson State University",57800
"Fortis College of Houston, TX",27900
"Los Angeles Community College District",41400
"Savannah State University",45400
"Berkeley College of Woodland Park, NJ",51200
"Howard University",76900
"New Mexico Institute Of Mining & Technology",91800
"Hudson County Community College",32600
"Fordham University",113300
"D'Youville College",75800
"Mississippi Valley State University",28800
"University Of Southern California",120100
"Coffeyville Community College",40700
"Brazosport College",74000
"Houston Community College",49200
"Bennett College",50000
"Copper Mountain College",50100
"Elizabeth City State University",37400
"Poster & Chester Institute",62500
"Park University",65300
"College Of Westchester",55800
"California State University, Stanislaus",72300
"University Of Maryland University College",53900
"Letourneau University",85700
"Monroe College",28200
"Adventist University Of Health Sciences",62900
"University Of The District Of Columbia",40000
"Florida Institute Of Technology",86300
"Rutgers, The State University Of New Jersey",101000
"Central Texas College District",51800
"Nyack College",58400
"Fresno Pacific University",71100
"Plaza College",29100
"State University Of New York At New Paltz",91900
"Del Mar College",52900
"San Diego State University",100500
"University Of Louisiana At Monroe",59700
"Dominican College Of Blauvelt",88900
"Chicago State University",43700
"Fashion Institute Of Technology",79800
"Boricua College",28900
