"name","public","tier","test_band_tier","par_income_lab","rel_attend_sat","rel_attend","par_top1pc","par_q1","par_q2","par_q3","par_q4","par_q5","par_median"
"American University","Private","Highly selective private","Other Top 100 Private","Top 1",1.8840725,3.6115713,0.066627838,0.040005263,0.049681608,0.092461064,0.15065844,0.66719359,155300
"Amherst College","Private","Other elite schools (public and private)","NESCAC","Top 1",2.051353,9.2031021,0.21125141,0.046751086,0.073377781,0.12356301,0.15987736,0.59643084,158200
"Auburn University","Public","Selective public","Other Top 100 Public","Top 1",2.1030273,3.3870914,0.062016767,0.026276456,0.04694638,0.093340963,0.1870911,0.64634514,143000
"Barnard College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.6815197,7.9409561,0.17057277,0.065539569,0.08702264,0.071897209,0.12208231,0.65345836,190100
"Bates College","Private","Other elite schools (public and private)","NESCAC","Top 1",4.004591,9.7827291,0.18308043,0.027576288,0.048343655,0.053130068,0.11385207,0.7570979,226500
"Baylor University","Private","Highly selective private","Other Top 100 Private","Top 1",3.0540817,4.4281006,0.071125142,0.048036613,0.062431619,0.12042297,0.2023169,0.56679201,127500
"Binghamton University","Public","Highly selective public","Other Top 100 Public","Top 1",0.4131828,0.8202461,0.011094347,0.059048466,0.096715033,0.10992284,0.19513403,0.53917962,117800
"Boston College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",3.3678708,10.072283,0.16143566,0.030744363,0.043444604,0.077316172,0.14631525,0.70217967,194100
"Boston University","Private","Highly selective private","Other Top 100 Private","Top 1",2.2238138,5.5076189,0.10066225,0.041503854,0.059338745,0.10204161,0.18510543,0.61201048,141000
"Bowdoin College","Private","Other elite schools (public and private)","NESCAC","Top 1",2.6859634,9.5671368,0.20415856,0.038009994,0.05421422,0.08285293,0.13724858,0.68767422,195900
"Brandeis University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.5509356,4.7313023,0.071998946,0.047050104,0.08206366,0.11373648,0.1879504,0.56919932,128400
"Brigham Young University","Private","Selective private","Other Top 100 Private","Top 1",1.1998215,2.3744531,0.042710733,0.018019971,0.032603599,0.093961909,0.26006013,0.59535444,125400
"Brown University","Private","Ivy Plus","Ivy Plus","Top 1",2.0217488,9.591608,0.19463895,0.040771838,0.052310444,0.088852093,0.11387005,0.7041955,204200
"Bryn Mawr College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.5223988,4.7791238,0.079009973,0.040959932,0.09567,0.14761609,0.16428547,0.55146861,125200
"Bucknell University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",4.2627096,11.462481,0.20382737,0.023277035,0.02983772,0.068822935,0.14740843,0.73065388,204200
"California Institute Of Technology","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",0.61149985,3.4734151,0.030213827,0.029143343,0.023224272,0.053563401,0.20776236,0.6863066,146300
"Carleton College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",1.9471489,7.2016096,0.14420605,0.028581569,0.05032254,0.075944245,0.1666414,0.67851025,172400
"Carnegie Mellon University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",0.92468649,4.1504707,0.070059143,0.040180322,0.053184167,0.092231825,0.15265971,0.661744,154700
"Case Western Reserve University","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",0.76420355,2.3289778,0.041357569,0.036098637,0.04845912,0.12091043,0.21656856,0.57796323,125700
"Claremont Mckenna College","Private","Other elite schools (public and private)","Tier 2 Private","Top 1",2.6591859,9.483408,0.19594757,0.048013657,0.019198019,0.084778741,0.16895118,0.67905849,201300
"Clark University","Private","Highly selective private","Other Top 100 Private","Top 1",0.93508637,1.606281,0.036236554,0.047813449,0.093432136,0.11194257,0.24128346,0.50552845,114600
"Clemson University","Public","Highly selective public","Other Top 100 Public","Top 1",1.738292,2.7376688,NA,NA,NA,NA,NA,NA,NA
