"name","par_income_bin","par_income_lab","rel_attend_sat","rel_attend","tier_name","test_band_tier"
"American University",10,"0-20",0.69774663,0.39177746,"Highly selective private","Other Top 100 Private"
"American University",30,"20-40",0.62448281,0.38715148,"Highly selective private","Other Top 100 Private"
"American University",50,"40-60",0.87526071,0.60145038,"Highly selective private","Other Top 100 Private"
"American University",65,"60-70",0.9252373,0.79602796,"Highly selective private","Other Top 100 Private"
"American University",75,"70-80",0.93304861,0.93241632,"Highly selective private","Other Top 100 Private"
"American University",85,"80-90",0.9475053,1.1855667,"Highly selective private","Other Top 100 Private"
"American University",92.5,"90-95",1.0537659,1.6179259,"Highly selective private","Other Top 100 Private"
"American University",95.5,"95-96",1.4057196,2.3555181,"Highly selective private","Other Top 100 Private"
"American University",96.5,"96-97",1.311317,2.4475029,"Highly selective private","Other Top 100 Private"
"American University",97.5,"97-98",1.409601,2.6891725,"Highly selective private","Other Top 100 Private"
"American University",98.5,"98-99",1.5442817,3.0565012,"Highly selective private","Other Top 100 Private"
"American University",99.5,"Top 1",1.8840725,3.6115713,"Highly selective private","Other Top 100 Private"
"Amherst College",10,"0-20",1.6126016,0.45269585,"Other elite schools (public and private)","NESCAC"
"Amherst College",30,"20-40",1.8303678,0.54766005,"Other elite schools (public and private)","NESCAC"
"Amherst College",50,"40-60",1.1945496,0.59576839,"Other elite schools (public and private)","NESCAC"
"Amherst College",65,"60-70",0.8122251,0.5252943,"Other elite schools (public and private)","NESCAC"
"Amherst College",75,"70-80",0.60390568,0.45071492,"Other elite schools (public and private)","NESCAC"
"Amherst College",85,"80-90",0.73221165,0.79239249,"Other elite schools (public and private)","NESCAC"
"Amherst College",92.5,"90-95",0.63088179,1.2160177,"Other elite schools (public and private)","NESCAC"
"Amherst College",95.5,"95-96",1.0127096,2.5598905,"Other elite schools (public and private)","NESCAC"
"Amherst College",96.5,"96-97",0.81828016,2.6040425,"Other elite schools (public and private)","NESCAC"
"Amherst College",97.5,"97-98",1.0369351,3.4913828,"Other elite schools (public and private)","NESCAC"
"Amherst College",98.5,"98-99",1.7949971,5.235456,"Other elite schools (public and private)","NESCAC"
"Amherst College",99.5,"Top 1",2.051353,9.2031021,"Other elite schools (public and private)","NESCAC"
"Auburn University",10,"0-20",0.56999844,0.25623658,"Selective public","Other Top 100 Public"
"Auburn University",30,"20-40",0.62039053,0.33764604,"Selective public","Other Top 100 Public"
"Auburn University",50,"40-60",0.67765713,0.4960084,"Selective public","Other Top 100 Public"
"Auburn University",65,"60-70",0.71549511,0.64406276,"Selective public","Other Top 100 Public"
"Auburn University",75,"70-80",0.8177734,0.88314098,"Selective public","Other Top 100 Public"
"Auburn University",85,"80-90",1.0978497,1.3444546,"Selective public","Other Top 100 Public"
"Auburn University",92.5,"90-95",1.4148642,1.9536501,"Selective public","Other Top 100 Public"
"Auburn University",95.5,"95-96",1.6011219,2.4125981,"Selective public","Other Top 100 Public"
"Auburn University",96.5,"96-97",1.6706475,2.6455684,"Selective public","Other Top 100 Public"
"Auburn University",97.5,"97-98",1.7439431,2.7620833,"Selective public","Other Top 100 Public"
"Auburn University",98.5,"98-99",2.0957344,3.4620783,"Selective public","Other Top 100 Public"
"Auburn University",99.5,"Top 1",2.1030273,3.3870914,"Selective public","Other Top 100 Public"
"Barnard College",10,"0-20",0.9149332,0.50684476,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",30,"20-40",0.99142122,0.46337429,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",50,"40-60",0.89464867,0.5010345,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",65,"60-70",0.87759274,0.66049981,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",75,"70-80",0.73045653,0.66167992,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",85,"80-90",0.58388537,0.71033585,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",92.5,"90-95",0.74716407,1.2858249,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",95.5,"95-96",0.99735117,2.0771427,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",96.5,"96-97",1.0639728,2.5212977,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",97.5,"97-98",1.4545612,3.6031575,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",98.5,"98-99",2.168483,5.8109698,"Other elite schools (public and private)","Tier 2 Private"
"Barnard College",99.5,"Top 1",2.6815197,7.9409561,"Other elite schools (public and private)","Tier 2 Private"
"Bates College",10,"0-20",0.36155087,0.20380163,"Other elite schools (public and private)","NESCAC"
"Bates College",30,"20-40",0.2273397,0.21400459,"Other elite schools (public and private)","NESCAC"
"Bates College",50,"40-60",0.49353305,0.32643044,"Other elite schools (public and private)","NESCAC"
"Bates College",65,"60-70",0.47750562,0.37646669,"Other elite schools (public and private)","NESCAC"
"Bates College",75,"70-80",0.82008678,0.70711547,"Other elite schools (public and private)","NESCAC"
"Bates College",85,"80-90",0.75987715,0.94517863,"Other elite schools (public and private)","NESCAC"
"Bates College",92.5,"90-95",0.88171351,1.5120907,"Other elite schools (public and private)","NESCAC"
"Bates College",95.5,"95-96",0.90209317,2.0006082,"Other elite schools (public and private)","NESCAC"
"Bates College",96.5,"96-97",1.4879472,3.0057542,"Other elite schools (public and private)","NESCAC"
"Bates College",97.5,"97-98",2.1038089,4.6975684,"Other elite schools (public and private)","NESCAC"
"Bates College",98.5,"98-99",2.9614947,6.3977871,"Other elite schools (public and private)","NESCAC"
"Bates College",99.5,"Top 1",4.004591,9.7827291,"Other elite schools (public and private)","NESCAC"
"Baylor University",10,"0-20",0.55611253,0.30488583,"Highly selective private","Other Top 100 Private"
"Baylor University",30,"20-40",0.63310122,0.39024135,"Highly selective private","Other Top 100 Private"
"Baylor University",50,"40-60",0.71309036,0.53749847,"Highly selective private","Other Top 100 Private"
"Baylor University",65,"60-70",0.7425611,0.67884046,"Highly selective private","Other Top 100 Private"
