"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
34101,"Sand Point","AK",2697,NA,0,0.016,0,0,0,0,0.945,16696,0.332,NA,0.072,5546,NA,NA,NA,NA,NA,0.793,0.449,0.016,0.013,0.183,NA,0.11,0.004,0.282,0.08,0.633,-0.115,NA,"Sand Point, AK"
34106,"Nome","AK",9196,30.7,0,0.004,0.143,0.066,0.036,0.081,0.928,29589,0.392,6.635,0.015,3670,NA,-30.813,0.017,NA,NA,0.605,0.009,0.014,0.02,0.015,NA,0.486,0.004,0.209,0.074,0.398,-0.003,NA,"Nome, AK"
34112,"Bethel","AK",23034,32.9,0,0.003,0.132,0.052,0.02,0.095,0.909,23593,0.429,6.028,0.01,1789,NA,-32.785,0.072,NA,NA,0.616,0.007,0.009,0.02,0.01,NA,0.568,0.003,0.195,0.062,0.443,0.004,NA,"Bethel, AK"
34113,"Barrow","AK",7385,31.2,0,0.007,0.034,0.009,0.002,0.017,0.879,39123,0.261,5.017,NA,NA,NA,-25.019,0.098,0.135,-0.144,0.721,0.004,0.008,0.022,0.058,NA,0.231,0.001,0.25,0.092,0.427,-0.072,NA,"Barrow, AK"
34105,"Kotzebue","AK",7208,31.3,0,0.002,0.044,0.03,0.022,0.032,0.864,27613,0.302,3.179,0.075,NA,NA,-25.289,0.095,NA,NA,0.629,0.002,0.018,0.027,0.014,NA,0.391,0.028,0.248,0.066,0.425,-0.017,NA,"Kotzebue, AK"
34114,"Unalaska","AK",5465,NA,0,0.03,0.039,0.028,0.018,0.026,0.852,23637,0.285,NA,0.07,2949,NA,NA,NA,NA,NA,0.816,0.317,0.018,0.029,0.214,NA,0.166,0.008,0.134,0.128,0.512,-0.118,NA,"Unalaska, AK"
20402,"Nantucket","MA",9520,NA,0,0.082,0.035,0.01,0.009,0.003,0.818,49651,0.364,NA,0.07,4868,8.164,NA,NA,NA,NA,0.74,0.032,0.013,0.011,0.08,7.305,0.383,0.002,0.179,0.121,0.479,0.039,NA,"Nantucket, MA"
34107,"Dillingham","AK",6745,41.3,0,0.003,0.082,0.037,0.036,0.028,0.812,31291,0.377,4.54,0.011,6661,NA,-28.735,0.109,NA,NA,0.606,0.017,0.013,0.022,0.009,NA,0.304,0.003,0.195,0.091,0.49,-0.001,NA,"Dillingham, AK"
34110,"Sitka","AK",15519,41.2,0,0.003,0.04,0.007,0.009,0.005,0.805,42159,0.275,4.478,0.019,4665,8.366,5.428,0.004,0.064,NA,0.718,0.058,0.006,0.016,0.041,NA,0.386,0.004,0.188,0.119,0.574,0.001,NA,"Sitka, AK"
27011,"Pierre","SD",20809,46.7,0,0.002,0.079,0.016,0.014,0.017,0.767,38653,0.344,7.779,0.027,1943,5.099,8.612,0.007,NA,NA,0.739,0.015,0.012,0.013,0.012,5.266,0.699,0.001,0.184,0.098,0.616,0.002,NA,"Pierre, SD"
34302,"Worland","WY",13171,50.4,0,0.002,0.047,0.012,0.009,0.013,0.766,34375,0.376,15.103,0.028,2810,6.149,7.028,NA,NA,NA,0.651,0.059,0.01,0.017,0.02,1.624,0.508,0.003,0.157,0.109,0.627,0.023,NA,"Worland, WY"
