"qkey","cancul1","crimsent","weight_w92","education","division","ideology","gender","race"
100260,"Punish","Too little time",0.207346665063957,"College graduate","Pacific","Very Conservative","Man","White"
100314,"Accountable","About the right amount",0.381441343952958,"Some College","East North Central","Moderate","Man","White"
100363,"Accountable","About the right amount",0.604085740615121,"Postgraduate","Middle Atlantic","Moderate","Woman","White"
100637,"Accountable","Too little time",0.741445792230774,"Associate's Degree","South Atlantic","Conservative","Woman","White"
100803,"Punish","Too much time",0.352384556052138,"College graduate","West North Central","Conservative","Woman","White"
101437,"Punish","About the right amount",0.398121119783231,"Associate's Degree","West North Central","Conservative","Woman","White"
101493,"Punish","Too little time",0.254317041361491,"Some College","Pacific","Conservative","Man","Hispanic"
103379,"Punish","Too little time",0.556482699335602,"Some College","South Atlantic","Conservative","Man","White"
103406,"Accountable","About the right amount",0.296144632577972,"Postgraduate","South Atlantic","Liberal","Woman","White"
103519,"Accountable","Too little time",0.16609329761351,"Postgraduate","East North Central","Moderate","Man","White"
103677,"Punish","About the right amount",0.512154484898133,"Some College","Middle Atlantic","Very Conservative","Man","White"
103956,"Accountable","Too little time",0.438409778219397,"College graduate","East North Central","Liberal","Woman","White"
104210,"Accountable","Too much time",0.926964412960818,"High School Graduate","Middle Atlantic","Very Liberal","Woman","White"
104272,"Accountable","Too much time",0.573598208681706,"Some College","East North Central","Liberal","Man","White"
104368,"Accountable","About the right amount",1.04170835546914,"High School Graduate","West South Central","Conservative","Man","White"
104491,"Accountable","Too much time",0.765035873932143,"Some College","Pacific","Liberal","Woman","White"
104689,"Accountable","About the right amount",0.501833447931484,"High School Graduate","East North Central","Moderate","Woman","White"
104727,"Accountable","Too little time",2.04934037247493,"High School Graduate","East North Central","Conservative","Man","White"
105124,"Accountable","About the right amount",0.259747512460924,"Postgraduate","South Atlantic","Conservative","Man","White"
105205,"Accountable","Too little time",0.434000487124397,"Associate's Degree","East North Central","Very Conservative","Woman","White"
105269,"Accountable","About the right amount",0.339615058548449,"Postgraduate","West North Central","Moderate","Man","White"
106444,"Accountable","Too much time",0.543027239354474,"College graduate","Middle Atlantic","Moderate","Woman","White"
106590,"Punish","About the right amount",0.454204338043495,"Postgraduate","Pacific","Moderate","Woman","White"
