"degree","mntlhlth"
"Junior College",20
"Bachelor",3
"Bachelor",1
"High School",0
"High School",1
"Less than HS",10
"High School",10
"Graduate",0
"High School",0
"Bachelor",0
"High School",0
"Graduate",0
"Graduate",9
"High School",0
"Junior College",0
"High School",5
"Bachelor",1
"High School",5
"High School",0
"Bachelor",10
"Less than HS",0
"Graduate",1
"Graduate",0
"Graduate",0
"Graduate",0
"High School",7
"High School",10
"High School",15
"Graduate",0
"High School",0
"High School",1
"Graduate",11
"Bachelor",0
"Bachelor",0
"Less than HS",0
"High School",5
"Less than HS",0
"Bachelor",0
"High School",0
"Graduate",0
"Junior College",0
"Graduate",0
"High School",5
"Junior College",0
"Bachelor",5
"High School",3
"High School",3
"High School",0
"High School",0
"Bachelor",0
"High School",0
"High School",0
"Graduate",5
"Graduate",1
"Graduate",1
"Graduate",3
"Graduate",1
"Bachelor",0
"High School",15
"Bachelor",0
"Less than HS",0
"Graduate",0
"Graduate",0
"High School",2
"High School",0
"High School",0
"Bachelor",0
"Junior College",0
"High School",0
"Bachelor",0
"Bachelor",0
"High School",1
"High School",1
"High School",0
"Bachelor",3
"Bachelor",0
"Bachelor",0
"Graduate",2
"Graduate",0
"Bachelor",0
"Graduate",0
"Graduate",2
"Bachelor",2
"High School",3
"High School",20
"High School",10
"Bachelor",3
"Less than HS",0
"High School",5
"Junior College",0
"High School",3
"High School",0
"High School",3
"Bachelor",7
"Graduate",0
"Graduate",0
"Bachelor",0
"Less than HS",0
"Less than HS",2
"High School",0
"High School",0
"Less than HS",0
"Less than HS",15
"High School",8
"Less than HS",15
"Junior College",0
"High School",0
"High School",7
"High School",0
"High School",0
"Graduate",0
"Graduate",1
"High School",1
"Bachelor",1
"Graduate",0
"Graduate",2
"Bachelor",3
"Bachelor",0
"High School",0
"High School",1
"Bachelor",10
"Bachelor",3
"Less than HS",1
"High School",0
"Bachelor",0
"High School",0
"Bachelor",14
"High School",14
"Graduate",20
"High School",0
"Junior College",0
"Less than HS",0
"High School",3
"Graduate",10
"Bachelor",5
"High School",0
"High School",0
"Bachelor",0
"High School",15
"Bachelor",6
"High School",0
"High School",0
"Bachelor",6
"Bachelor",0
"High School",5
