"id","year","educ","agekdbrn","racehisp"
3,2012,12,32,"hispanic"
4,2012,13,24,"white"
5,2012,16,24,"black"
6,2012,19,25,"white"
7,2012,15,23,"white"
8,2012,11,17,"hispanic"
9,2012,9,18,"black"
11,2012,10,22,"white"
12,2012,16,26,"black"
13,2012,12,20,"white"
14,2012,12,16,"black"
15,2012,4,18,"hispanic"
16,2012,13,25,"black"
17,2012,12,28,"hispanic"
18,2012,13,21,"black"
19,2012,12,34,"hispanic"
21,2012,0,18,"hispanic"
22,2012,10,25,"hispanic"
23,2012,14,23,"white"
24,2012,16,28,"other"
25,2012,12,37,"white"
26,2012,17,27,"white"
28,2012,10,33,"hispanic"
29,2012,16,27,"black"
30,2012,13,22,"white"
32,2012,14,28,"white"
34,2012,16,34,"other"
36,2012,18,33,"white"
40,2012,14,17,"black"
42,2012,14,27,"white"
44,2012,16,27,"white"
45,2012,16,34,"white"
46,2012,16,22,"white"
47,2012,16,22,"white"
48,2012,16,35,"white"
49,2012,16,23,"white"
50,2012,19,26,"white"
51,2012,16,29,"white"
52,2012,16,29,"other"
53,2012,20,37,"white"
54,2012,14,33,"hispanic"
55,2012,20,33,"white"
56,2012,20,30,"other"
57,2012,14,23,"hispanic"
58,2012,12,21,"black"
59,2012,8,18,"hispanic"
60,2012,9,18,"hispanic"
61,2012,19,19,"black"
62,2012,19,23,"black"
63,2012,6,28,"other"
64,2012,17,42,"black"
65,2012,16,33,"black"
67,2012,11,17,"black"
68,2012,16,36,"black"
70,2012,14,30,"white"
72,2012,16,25,"white"
73,2012,17,38,"white"
74,2012,14,31,"white"
75,2012,16,33,"hispanic"
76,2012,12,26,"white"
77,2012,16,29,"white"
78,2012,14,26,"white"
79,2012,13,25,"hispanic"
80,2012,12,19,"hispanic"
83,2012,16,35,"white"
84,2012,20,32,"other"
87,2012,12,26,"hispanic"
89,2012,13,29,"white"
90,2012,14,30,"hispanic"
91,2012,18,27,"hispanic"
93,2012,16,27,"other"
94,2012,12,33,"white"
95,2012,10,17,"hispanic"
96,2012,14,20,"hispanic"
97,2012,16,30,"white"
101,2012,12,29,"white"
103,2012,20,21,"white"
104,2012,12,20,"hispanic"
107,2012,19,28,"white"
109,2012,18,20,"black"
111,2012,14,23,"black"
112,2012,16,31,"black"
115,2012,12,24,"white"
116,2012,12,27,"white"
117,2012,14,19,"white"
118,2012,18,35,"white"
119,2012,12,22,"white"
120,2012,14,22,"white"
121,2012,18,30,"white"
125,2012,16,19,"white"
126,2012,20,18,"hispanic"
127,2012,19,39,"white"
128,2012,6,17,"hispanic"
129,2012,12,18,"hispanic"
130,2012,6,25,"hispanic"
131,2012,12,25,"white"
133,2012,6,18,"hispanic"
134,2012,12,21,"hispanic"
136,2012,12,20,"black"
137,2012,13,15,"black"
138,2012,8,22,"hispanic"
139,2012,16,25,"other"
140,2012,16,35,"other"
141,2012,16,29,"black"
142,2012,14,34,"hispanic"
143,2012,16,30,"white"
144,2012,16,24,"other"
146,2012,14,26,"black"
147,2012,14,20,"hispanic"
149,2012,14,25,"hispanic"
150,2012,14,35,"hispanic"
151,2012,9,15,"hispanic"
152,2012,6,16,"hispanic"
154,2012,6,27,"hispanic"
155,2012,11,19,"hispanic"
156,2012,14,19,"white"
159,2012,14,32,"hispanic"
160,2012,13,18,"hispanic"
161,2012,17,28,"other"
162,2012,17,34,"hispanic"
163,2012,12,27,"black"
164,2012,12,33,"white"
165,2012,13,28,"white"
170,2012,16,38,"white"
171,2012,15,30,"other"
178,2012,16,30,"white"
179,2012,19,30,"white"
180,2012,9,22,"hispanic"
181,2012,12,23,"hispanic"
182,2012,14,20,"hispanic"
183,2012,11,19,"hispanic"
184,2012,13,37,"white"
185,2012,16,28,"black"
187,2012,17,28,"white"
188,2012,12,21,"hispanic"
189,2012,16,31,"other"
191,2012,12,41,"white"
192,2012,12,25,"white"
193,2012,12,38,"white"
195,2012,12,19,"white"
196,2012,13,19,"black"
197,2012,12,18,"hispanic"
198,2012,14,21,"hispanic"
201,2012,9,19,"hispanic"
203,2012,16,19,"hispanic"
204,2012,17,20,"hispanic"
206,2012,13,17,"black"
210,2012,14,21,"white"
213,2012,16,26,"black"
214,2012,14,19,"hispanic"
215,2012,18,22,"white"
216,2012,19,32,"white"
217,2012,12,39,"white"
218,2012,12,26,"hispanic"
219,2012,12,17,"hispanic"
220,2012,9,21,"hispanic"
221,2012,6,23,"hispanic"
222,2012,11,17,"white"
224,2012,12,21,"hispanic"
225,2012,12,19,"white"
228,2012,19,27,"white"
229,2012,12,25,"hispanic"
230,2012,6,40,"hispanic"
232,2012,16,25,"black"
233,2012,12,18,"black"
234,2012,14,27,"black"
235,2012,13,21,"black"
236,2012,6,20,"hispanic"
237,2012,17,18,"black"
238,2012,12,16,"hispanic"
239,2012,14,30,"hispanic"
240,2012,10,21,"hispanic"
241,2012,12,27,"white"
242,2012,16,26,"white"
243,2012,18,31,"white"
245,2012,12,32,"white"
247,2012,12,25,"hispanic"
248,2012,0,15,"hispanic"
250,2012,16,19,"hispanic"
251,2012,14,34,"white"
252,2012,16,23,"hispanic"
254,2012,6,25,"hispanic"
255,2012,12,22,"hispanic"
256,2012,8,18,"black"
257,2012,10,28,"black"
258,2012,12,23,"hispanic"
259,2012,16,25,"white"
260,2012,16,28,"white"
261,2012,12,30,"white"
262,2012,16,31,"white"
263,2012,12,21,"white"
264,2012,17,35,"white"
265,2012,16,31,"white"
266,2012,16,27,"white"
267,2012,16,25,"white"
268,2012,18,30,"white"
269,2012,12,27,"white"
270,2012,16,25,"white"
271,2012,12,26,"white"
272,2012,14,24,"white"
273,2012,11,31,"white"
274,2012,14,27,"white"
275,2012,16,19,"white"
276,2012,14,18,"white"
277,2012,12,18,"white"
279,2012,16,23,"white"
280,2012,16,29,"white"
281,2012,20,32,"white"
283,2012,16,20,"white"
284,2012,13,22,"white"
286,2012,14,26,"white"
287,2012,16,23,"white"
290,2012,9,18,"hispanic"
291,2012,14,17,"black"
292,2012,16,30,"black"
293,2012,13,30,"white"
294,2012,14,19,"black"
296,2012,14,21,"black"
297,2012,18,29,"white"
298,2012,12,20,"white"
300,2012,12,21,"white"
303,2012,12,18,"white"
306,2012,20,29,"black"
307,2012,18,37,"white"
308,2012,6,25,"black"
310,2012,16,21,"black"
311,2012,16,20,"white"
312,2012,8,38,"black"
313,2012,18,30,"white"
314,2012,20,25,"white"
315,2012,17,34,"white"
316,2012,20,25,"white"
317,2012,16,26,"black"
318,2012,4,32,"hispanic"
319,2012,13,26,"black"
320,2012,12,29,"black"
322,2012,15,32,"black"
323,2012,16,28,"white"
324,2012,12,19,"hispanic"
326,2012,14,23,"white"
333,2012,17,35,"white"
334,2012,8,25,"white"
335,2012,17,37,"white"
336,2012,12,19,"white"
337,2012,17,18,"white"
338,2012,15,27,"white"
339,2012,9,15,"white"
340,2012,16,24,"white"
341,2012,16,33,"white"
342,2012,16,27,"white"
343,2012,19,36,"white"
346,2012,16,27,"white"
349,2012,12,32,"white"
351,2012,13,24,"white"
353,2012,10,24,"white"
355,2012,14,26,"white"
356,2012,13,23,"white"
357,2012,18,29,"white"
361,2012,15,21,"white"
362,2012,12,20,"white"
363,2012,12,22,"white"
364,2012,5,20,"hispanic"
365,2012,10,18,"white"
366,2012,12,30,"white"
367,2012,16,28,"white"
369,2012,12,24,"white"
370,2012,12,21,"white"
371,2012,15,17,"white"
372,2012,16,29,"white"
373,2012,9,33,"white"
374,2012,12,33,"white"
376,2012,12,17,"white"
377,2012,14,27,"white"
378,2012,15,35,"white"
382,2012,13,31,"other"
383,2012,16,29,"other"
384,2012,14,15,"white"
385,2012,18,30,"white"
386,2012,16,36,"white"
387,2012,14,17,"white"
389,2012,17,23,"white"
391,2012,11,18,"white"
396,2012,19,30,"hispanic"
398,2012,15,26,"black"
399,2012,13,28,"white"
405,2012,17,34,"hispanic"
406,2012,12,23,"other"
407,2012,14,18,"white"
409,2012,20,26,"black"
412,2012,19,19,"white"
413,2012,20,26,"white"
414,2012,16,20,"white"
415,2012,16,24,"white"
417,2012,20,21,"white"
418,2012,13,21,"white"
420,2012,10,17,"black"
428,2012,16,30,"white"
429,2012,16,32,"white"
430,2012,12,28,"white"
431,2012,14,24,"white"
433,2012,11,23,"black"
434,2012,14,23,"white"
435,2012,20,35,"white"
436,2012,16,27,"hispanic"
438,2012,11,17,"white"
439,2012,16,22,"white"
440,2012,14,34,"white"
441,2012,14,24,"hispanic"
442,2012,12,28,"white"
443,2012,15,20,"black"
444,2012,11,17,"black"
446,2012,13,29,"white"
447,2012,13,22,"black"
448,2012,12,18,"white"
450,2012,13,27,"black"
451,2012,20,33,"white"
455,2012,16,21,"white"
456,2012,12,32,"white"
458,2012,14,23,"hispanic"
460,2012,12,31,"white"
462,2012,19,20,"hispanic"
