"id","year","childs","chldidel","parsol","kidssol"
2,2010,0,2,"About The Same","About The Same"
6,2010,2,2,"Somewhat Better","Somewhat Better"
11,2010,1,3,"Much Better","Somewhat Better"
15,2010,1,2,"About The Same","Somewhat Better"
20,2010,0,3,"Somewhat Worse","Much Worse"
25,2010,2,3,"Somewhat Better","Much Better"
28,2010,0,2,"Much Better","About The Same"
39,2010,1,2,"Much Better","About The Same"
42,2010,0,2,"Somewhat Worse","Somewhat Worse"
45,2010,2,2,"Much Better","Somewhat Better"
46,2010,1,2,"Somewhat Better","Much Better"
50,2010,2,2,"Somewhat Better","Much Better"
53,2010,2,2,"Much Better","Somewhat Better"
55,2010,2,4,"Much Better","Somewhat Better"
56,2010,2,2,"Much Better","Somewhat Worse"
59,2010,0,6,"About The Same","Much Better"
61,2010,0,3,"Somewhat Better","Somewhat Better"
62,2010,2,2,"Somewhat Better","Much Better"
67,2010,1,3,"About The Same","Somewhat Better"
68,2010,2,3,"Somewhat Worse","Much Better"
69,2010,2,2,"Somewhat Worse","Somewhat Better"
70,2010,2,3,"Much Better","Much Better"
75,2010,0,2,"Somewhat Worse","Much Worse"
79,2010,3,3,"About The Same","Somewhat Worse"
82,2010,4,2,"Much Better","Somewhat Better"
85,2010,0,2,"About The Same","Much Better"
90,2010,3,3,"Much Better","Much Better"
96,2010,0,4,"Much Better","About The Same"
100,2010,2,2,"Much Better","Somewhat Better"
111,2010,0,4,"Much Better","Much Better"
114,2010,3,2,"Somewhat Worse","Much Worse"
117,2010,1,2,"About The Same","Somewhat Worse"
119,2010,0,3,"About The Same","About The Same"
121,2010,1,3,"Somewhat Better","Much Better"
122,2010,0,3,"Somewhat Better","Somewhat Better"
128,2010,3,2,"Somewhat Better","Much Worse"
130,2010,2,3,"Much Better","Much Better"
133,2010,5,3,"Somewhat Better","Somewhat Better"
135,2010,3,4,"Much Better","Much Better"
136,2010,1,2,"Somewhat Worse","Somewhat Better"
145,2010,1,2,"Much Better","About The Same"
146,2010,0,2,"Much Better","Much Better"
147,2010,5,3,"Much Better","Somewhat Better"
148,2010,2,4,"About The Same","Somewhat Better"
154,2010,0,3,"Somewhat Better","Somewhat Better"
157,2010,2,2,"Much Better","Somewhat Better"
161,2010,0,2,"Much Better","Much Better"
168,2010,0,4,"Much Worse","Much Better"
170,2010,0,2,"Somewhat Better","Much Better"
172,2010,0,2,"About The Same","Somewhat Worse"
175,2010,4,4,"Somewhat Worse","Much Better"
180,2010,0,2,"Somewhat Better","Much Better"
184,2010,3,4,"Much Better","Much Better"
188,2010,0,1,"Much Better","Somewhat Better"
189,2010,1,2,"About The Same","About The Same"
190,2010,3,2,"Much Better","Somewhat Worse"
195,2010,3,2,"Somewhat Better","About The Same"
197,2010,4,3,"Much Better","Much Better"
203,2010,3,2,"Somewhat Better","Much Better"
205,2010,1,4,"About The Same","Somewhat Better"
207,2010,2,4,"Much Better","Somewhat Worse"
211,2010,0,3,"Much Better","Somewhat Better"
214,2010,4,4,"Somewhat Better","Much Better"
215,2010,2,2,"Much Better","Much Better"
227,2010,0,3,"Somewhat Better","About The Same"
230,2010,2,3,"Much Better","Somewhat Better"
233,2010,4,2,"Somewhat Better","Somewhat Better"
239,2010,4,2,"Somewhat Better","Somewhat Better"
243,2010,2,2,"Somewhat Better","Somewhat Better"
249,2010,4,4,"Somewhat Better","Somewhat Worse"
256,2010,3,2,"Much Better","Much Worse"
260,2010,0,3,"Somewhat Better","Somewhat Better"
261,2010,0,2,"Somewhat Worse","Somewhat Worse"
262,2010,2,2,"About The Same","About The Same"
266,2010,0,3,"Much Better","About The Same"
268,2010,2,2,"Much Better","Somewhat Worse"
271,2010,0,2,"About The Same","About The Same"
274,2010,0,2,"Much Better","Somewhat Worse"
275,2010,2,2,"Somewhat Better","Much Better"
278,2010,0,2,"About The Same","Somewhat Worse"
280,2010,5,4,"Much Better","Much Better"
286,2010,2,2,"Somewhat Better","Somewhat Better"
289,2010,0,3,"Somewhat Better","Somewhat Better"
296,2010,6,2,"Somewhat Better","Somewhat Worse"
297,2010,3,3,"Much Worse","Much Worse"
308,2010,2,2,"Much Better","Much Better"
311,2010,2,2,"Somewhat Better","About The Same"
318,2010,3,3,"Much Better","Somewhat Better"
322,2010,1,1,"About The Same","Much Better"
324,2010,0,4,"Somewhat Better","Somewhat Worse"
329,2010,2,2,"Somewhat Better","About The Same"
335,2010,2,2,"Somewhat Better","Somewhat Worse"
343,2010,3,1,"Much Worse","Much Better"
347,2010,3,2,"About The Same","Somewhat Better"
353,2010,2,2,"About The Same","Somewhat Better"
355,2010,2,3,"Much Better","About The Same"
356,2010,0,3,"Much Better","Much Better"
361,2010,3,2,"About The Same","Somewhat Better"
362,2010,1,3,"Somewhat Better","Much Better"
364,2010,2,2,"Much Better","About The Same"
366,2010,0,2,"Somewhat Worse","Much Worse"
367,2010,2,4,"Somewhat Worse","Much Better"
372,2010,1,2,"Somewhat Worse","Much Better"
376,2010,6,2,"Much Better","Much Better"
381,2010,4,2,"Much Worse","Somewhat Worse"
383,2010,1,3,"Much Better","Somewhat Better"
384,2010,2,2,"Somewhat Better","Somewhat Better"
385,2010,4,2,"About The Same","Somewhat Better"
387,2010,3,2,"Somewhat Worse","About The Same"
393,2010,6,3,"Much Worse","Somewhat Better"
394,2010,0,3,"Somewhat Better","About The Same"
399,2010,1,6,"Somewhat Worse","Much Better"
402,2010,2,4,"Somewhat Worse","Somewhat Better"
407,2010,1,2,"Much Worse","Much Better"
411,2010,3,2,"About The Same","Somewhat Better"
414,2010,0,3,"Somewhat Worse","Somewhat Better"
416,2010,1,2,"Much Better","Much Better"
420,2010,4,3,"Somewhat Better","Much Better"
421,2010,1,3,"Somewhat Better","About The Same"
427,2010,2,4,"Somewhat Better","Much Better"
431,2010,2,2,"About The Same","Somewhat Worse"
433,2010,2,3,"About The Same","About The Same"
435,2010,0,3,"Somewhat Better","Somewhat Better"
437,2010,3,2,"Somewhat Better","Much Worse"
440,2010,0,2,"Somewhat Better","Much Better"
441,2010,2,2,"Somewhat Better","Somewhat Better"
442,2010,4,4,"Somewhat Worse","Somewhat Better"
443,2010,1,4,"Somewhat Better","Much Worse"
446,2010,0,3,"Much Better","Much Better"
449,2010,1,3,"Much Better","Somewhat Better"
450,2010,4,4,"Much Better","Much Better"
457,2010,3,4,"Somewhat Worse","Somewhat Better"
475,2010,0,1,"Much Better","Somewhat Better"
485,2010,2,2,"Somewhat Worse","Much Better"
491,2010,1,2,"Much Better","Much Better"
493,2010,1,3,"About The Same","Much Better"
496,2010,3,3,"Somewhat Better","Much Better"
499,2010,2,1,"Somewhat Better","Somewhat Worse"
500,2010,3,3,"About The Same","About The Same"
503,2010,2,2,"Somewhat Better","Much Better"
505,2010,2,2,"Somewhat Worse","Somewhat Better"
513,2010,3,3,"Much Better","Somewhat Better"
515,2010,3,3,"Somewhat Better","Somewhat Better"
519,2010,1,2,"Somewhat Worse","Somewhat Better"
523,2010,6,5,"Much Better","Somewhat Better"
524,2010,3,4,"Somewhat Better","Somewhat Better"
529,2010,4,4,"Somewhat Better","Somewhat Worse"
530,2010,2,2,"About The Same","About The Same"
531,2010,3,3,"Much Worse","Somewhat Worse"
534,2010,1,3,"Somewhat Better","Somewhat Worse"
538,2010,2,2,"Somewhat Worse","About The Same"
540,2010,3,2,"Somewhat Better","Somewhat Better"
541,2010,1,3,"Somewhat Worse","Much Better"
542,2010,2,2,"Much Better","Much Better"
549,2010,5,2,"Much Better","About The Same"
552,2010,4,3,"Somewhat Better","Somewhat Better"
567,2010,3,3,"Much Better","Much Better"
570,2010,2,2,"Somewhat Better","About The Same"
574,2010,0,2,"About The Same","Somewhat Better"
579,2010,5,2,"Much Better","About The Same"
583,2010,2,2,"Much Better","Much Better"
592,2010,1,3,"Somewhat Worse","Much Better"
606,2010,2,3,"Somewhat Better","Somewhat Better"
607,2010,2,2,"About The Same","Somewhat Better"
609,2010,1,2,"Somewhat Worse","About The Same"
613,2010,2,2,"Somewhat Better","Somewhat Better"
615,2010,2,2,"Somewhat Better","Somewhat Better"
617,2010,2,4,"About The Same","Much Worse"
623,2010,1,2,"About The Same","Somewhat Better"
625,2010,2,2,"About The Same","About The Same"
629,2010,3,1,"Somewhat Worse","Somewhat Worse"
633,2010,1,3,"Somewhat Better","Somewhat Better"
637,2010,1,4,"Somewhat Better","Much Better"
639,2010,2,3,"Much Better","About The Same"
644,2010,3,2,"About The Same","About The Same"
650,2010,1,1,"Somewhat Worse","Somewhat Better"
655,2010,0,3,"Somewhat Better","About The Same"
657,2010,2,3,"Somewhat Better","Somewhat Better"
665,2010,1,2,"Much Better","Somewhat Worse"
668,2010,1,3,"About The Same","About The Same"
676,2010,6,3,"About The Same","Somewhat Better"
677,2010,1,2,"About The Same","Somewhat Better"
679,2010,0,2,"About The Same","Somewhat Worse"
680,2010,3,3,"Somewhat Worse","Much Better"
685,2010,1,5,"Much Better","Somewhat Worse"
686,2010,3,2,"Somewhat Worse","Much Better"
689,2010,2,2,"Much Better","Somewhat Better"
701,2010,1,2,"Much Better","Much Better"
706,2010,0,3,"Somewhat Better","Somewhat Better"
711,2010,0,2,"Much Better","Somewhat Better"
712,2010,2,3,"Somewhat Worse","Much Better"
715,2010,3,3,"About The Same","Much Better"
718,2010,0,2,"Much Better","Somewhat Worse"
719,2010,1,2,"About The Same","Somewhat Worse"
722,2010,3,2,"About The Same","Somewhat Worse"
728,2010,0,3,"Somewhat Better","Much Better"
729,2010,3,3,"Much Worse","Much Better"
730,2010,3,2,"About The Same","Somewhat Better"
734,2010,4,4,"Somewhat Better","Somewhat Better"
737,2010,2,3,"Much Better","About The Same"
740,2010,1,1,"About The Same","About The Same"
742,2010,2,3,"Much Better","Much Worse"
747,2010,2,2,"Much Better","About The Same"
750,2010,1,3,"Much Worse","Somewhat Worse"
753,2010,1,2,"Somewhat Better","Somewhat Better"
754,2010,0,2,"Much Better","Much Better"
767,2010,1,1,"About The Same","About The Same"
769,2010,0,3,"Somewhat Better","Somewhat Better"
771,2010,3,3,"Somewhat Better","Somewhat Better"
779,2010,2,2,"Somewhat Better","Somewhat Better"
782,2010,5,3,"About The Same","Somewhat Better"
783,2010,4,4,"About The Same","Somewhat Better"
788,2010,0,3,"Somewhat Better","About The Same"
793,2010,0,2,"About The Same","Much Better"
798,2010,2,2,"Somewhat Worse","Much Worse"
800,2010,0,3,"About The Same","About The Same"
801,2010,0,3,"Much Better","Somewhat Worse"
802,2010,0,2,"Much Better","Much Better"
805,2010,0,4,"Much Better","Much Better"
810,2010,1,2,"About The Same","Somewhat Better"
812,2010,0,2,"Somewhat Worse","Somewhat Worse"
813,2010,1,2,"About The Same","Somewhat Better"
821,2010,0,3,"Much Better","Somewhat Worse"
823,2010,0,3,"Much Better","Somewhat Better"
830,2010,1,4,"Somewhat Better","Somewhat Better"
832,2010,0,3,"Somewhat Better","About The Same"
840,2010,3,2,"Much Worse","Somewhat Better"
841,2010,4,2,"Much Better","Somewhat Worse"
843,2010,4,2,"Somewhat Better","Somewhat Better"
846,2010,3,2,"Much Better","Somewhat Worse"
853,2010,5,5,"About The Same","About The Same"
856,2010,0,3,"Somewhat Better","Much Better"
859,2010,2,1,"About The Same","About The Same"
865,2010,3,3,"Much Worse","About The Same"
868,2010,2,2,"Somewhat Better","Somewhat Better"
873,2010,0,2,"Somewhat Better","Much Worse"
876,2010,4,2,"Much Better","Much Better"
877,2010,2,5,"Somewhat Better","Somewhat Worse"
878,2010,1,3,"Much Better","Much Worse"
880,2010,1,3,"About The Same","About The Same"
882,2010,6,5,"About The Same","Somewhat Better"
883,2010,3,2,"Somewhat Worse","About The Same"
885,2010,1,2,"About The Same","About The Same"
890,2010,0,3,"About The Same","Somewhat Better"
893,2010,3,1,"Somewhat Worse","Somewhat Better"
894,2010,3,3,"Much Worse","Somewhat Better"
899,2010,3,1,"Somewhat Better","Somewhat Worse"
901,2010,2,2,"Somewhat Better","Somewhat Better"
914,2010,4,4,"Somewhat Worse","Somewhat Better"
916,2010,2,2,"Somewhat Better","Somewhat Better"
925,2010,4,3,"Somewhat Better","Somewhat Worse"
928,2010,2,3,"Somewhat Better","About The Same"
930,2010,0,3,"Somewhat Better","Somewhat Better"
935,2010,0,3,"Much Better","Somewhat Better"
942,2010,0,2,"Much Better","Much Better"
946,2010,4,2,"Much Better","Much Better"
948,2010,5,4,"Much Better","Much Better"
959,2010,0,3,"Somewhat Better","About The Same"
962,2010,1,2,"Much Better","Much Better"
964,2010,2,2,"Much Better","About The Same"
966,2010,3,2,"Somewhat Worse","Much Better"
968,2010,2,2,"Much Better","About The Same"
975,2010,1,1,"Somewhat Worse","Somewhat Worse"
979,2010,1,4,"About The Same","Much Better"
988,2010,1,1,"Somewhat Better","About The Same"
992,2010,0,3,"Somewhat Worse","Somewhat Better"
994,2010,3,3,"Somewhat Better","Somewhat Worse"
1000,2010,3,2,"Somewhat Worse","Somewhat Better"
1001,2010,0,2,"Somewhat Better","Much Better"
1003,2010,2,3,"About The Same","Much Worse"
1007,2010,4,2,"Somewhat Better","Somewhat Worse"
1015,2010,2,3,"About The Same","Much Better"
1022,2010,0,2,"Somewhat Worse","Somewhat Better"
1027,2010,0,2,"Somewhat Better","Somewhat Better"
1029,2010,0,3,"Somewhat Better","Somewhat Worse"
1039,2010,3,3,"Much Better","About The Same"
1042,2010,0,3,"Somewhat Better","Somewhat Better"
1049,2010,3,3,"Much Better","Somewhat Better"
1050,2010,4,2,"Somewhat Better","Somewhat Better"
1054,2010,0,2,"About The Same","Somewhat Better"
1056,2010,4,2,"Somewhat Worse","Somewhat Better"
1061,2010,2,2,"Somewhat Better","Somewhat Worse"
1069,2010,3,3,"Somewhat Better","Somewhat Worse"
1072,2010,1,3,"About The Same","Much Better"
1075,2010,1,2,"About The Same","Somewhat Better"
1078,2010,2,2,"Much Better","Somewhat Better"
1082,2010,3,2,"Somewhat Better","Somewhat Better"
1085,2010,4,2,"Much Better","Somewhat Worse"
1087,2010,1,2,"Much Better","Much Better"
1091,2010,3,2,"About The Same","Much Better"
1093,2010,0,2,"Somewhat Worse","Much Worse"
1095,2010,6,2,"About The Same","Much Better"
1099,2010,3,0,"Much Better","Much Better"
1107,2010,2,2,"About The Same","Much Better"
1108,2010,2,2,"Somewhat Better","About The Same"
1111,2010,0,2,"Somewhat Better","Somewhat Better"
