id,year,memnum,wrkslf,age,agekdbrn,degree,sex,class,polactions,racehisp
1,2004,1,NA,52,34,Less Than HS,Female,Working,0,Other
2,2004,0,NA,43,35,HS Diploma,Female,Upper,4,Hispanic
3,2004,2,Work For Someone Else,52,23,HS Diploma,Male,Middle,4,Black
4,2004,NA,Work For Someone Else,53,19,Some College,Male,Working,NA,Hispanic
5,2004,4,Work For Someone Else,34,NA,College Degree,Female,Working,6,Hispanic
6,2004,NA,Work For Someone Else,33,NA,College Degree,Male,Working,NA,Black
7,2004,NA,Work For Someone Else,24,NA,HS Diploma,Male,Middle,NA,Hispanic
8,2004,0,Work For Someone Else,22,NA,HS Diploma,Male,Working,1,Other
9,2004,NA,Work For Someone Else,19,NA,HS Diploma,Male,Working,NA,Black
10,2004,0,Work For Someone Else,26,NA,Some College,Male,Working,1,Black
11,2004,1,Work For Someone Else,74,19,HS Diploma,Male,Lower,2,Black
12,2004,2,Work For Someone Else,58,21,HS Diploma,Female,Working,5,Black
13,2004,2,Work For Someone Else,32,28,Less Than HS,Male,Working,1,Black
14,2004,NA,Work For Someone Else,40,19,Grad/Prof Degree,Male,Middle,NA,Hispanic
15,2004,NA,Work For Someone Else,42,NA,Some College,Male,Working,NA,Black
16,2004,0,Work For Someone Else,48,25,Less Than HS,Male,Middle,1,Black
17,2004,0,Work For Someone Else,39,18,Less Than HS,Female,NA,1,Black
18,2004,NA,Work For Someone Else,27,NA,Less Than HS,Male,Working,NA,Hispanic
19,2004,1,Work For Someone Else,38,25,College Degree,Female,NA,2,Black
20,2004,2,Self Employed,29,25,HS Diploma,Male,Working,3,Other
21,2004,NA,Self Employed,29,16,Less Than HS,Female,Lower,NA,Black
22,2004,4,Work For Someone Else,67,21,HS Diploma,Female,Middle,4,White
23,2004,0,Work For Someone Else,57,31,HS Diploma,Male,Lower,3,White
24,2004,NA,NA,20,NA,HS Diploma,Male,Middle,NA,Other
25,2004,NA,Work For Someone Else,19,NA,HS Diploma,Male,Middle,NA,White
26,2004,0,Self Employed,55,37,Some College,Female,Working,0,Other
27,2004,0,Work For Someone Else,35,26,HS Diploma,Female,Working,6,White
28,2004,NA,Work For Someone Else,26,NA,College Degree,Male,Middle,NA,White
29,2004,NA,Work For Someone Else,81,22,College Degree,Male,Middle,NA,White
30,2004,1,Work For Someone Else,73,NA,College Degree,Male,Middle,7,White
31,2004,NA,Work For Someone Else,65,21,HS Diploma,Female,Lower,NA,White
32,2004,0,Work For Someone Else,68,50,Less Than HS,Male,Middle,0,Black
33,2004,NA,Work For Someone Else,35,17,HS Diploma,Male,Working,NA,Black
34,2004,NA,Work For Someone Else,30,NA,Grad/Prof Degree,Male,Upper,NA,White
35,2004,8,Self Employed,47,32,College Degree,Female,Upper,5,White
36,2004,1,Self Employed,58,32,College Degree,Female,Middle,8,White
37,2004,NA,Work For Someone Else,57,NA,Grad/Prof Degree,Female,Middle,NA,White
38,2004,2,Work For Someone Else,29,NA,Grad/Prof Degree,Male,Middle,2,White
39,2004,NA,Work For Someone Else,53,NA,Grad/Prof Degree,Female,Upper,NA,White
40,2004,NA,Work For Someone Else,48,NA,Grad/Prof Degree,Male,Middle,NA,White
41,2004,NA,Work For Someone Else,23,22,HS Diploma,Female,Middle,NA,Black
42,2004,NA,Work For Someone Else,36,34,HS Diploma,Male,Working,NA,Hispanic
43,2004,NA,Work For Someone Else,24,23,HS Diploma,Male,Working,NA,Black
44,2004,NA,Work For Someone Else,61,29,HS Diploma,Female,Middle,NA,White
45,2004,NA,Work For Someone Else,49,NA,HS Diploma,Male,Working,NA,White
46,2004,0,Self Employed,55,31,College Degree,Male,Middle,7,Other
