"id","childs","age","agekdbrn","educ","class","memnum","racehisp","geography","religion","place","female","degree","agekdbrn_30plus"
1,1,52,34,9,"Working class",1,"Other","Big city","Catholic","Northeast","Yes","Less Than HS",1
2,3,59,NA,12,"Working class",1,"Black","Big city","Catholic","Northeast","No","HS Diploma",NA
2,3,43,35,14,"Upper class",0,"Hispanic","Big city","Catholic","Northeast","Yes","Some College",1
3,4,52,23,14,"Middle class",2,"Black","Big city","Protestant","Northeast","No","Some College",0
5,0,21,NA,13,"Lower class",3,"Black","Big city","Protestant","Northeast","Yes","Some College",NA
5,0,34,NA,17,"Working class",4,"Hispanic","Big city","Catholic","Northeast","Yes","Grad/Prof Degree",NA
8,0,22,NA,14,"Working class",0,"Other","Big city","Eastern","Northeast","No","Some College",NA
10,0,26,NA,14,"Working class",0,"Black","Big city","Protestant","Northeast","No","Some College",NA
11,7,74,19,12,"Lower class",1,"Black","Big city","Protestant","Northeast","No","HS Diploma",0
12,3,58,21,12,"Working class",2,"Black","Big city","None","Northeast","Yes","HS Diploma",0
13,1,32,28,10,"Working class",2,"Black","Big city","Catholic","Northeast","No","Less Than HS",0
16,2,48,25,11,"Middle class",0,"Black","Big city","Protestant","Northeast","No","Less Than HS",0
17,2,52,NA,18,"Upper class",3,"White","Big city","Jewish","Northeast","Yes","Grad/Prof Degree",NA
20,2,29,25,11,"Working class",2,"Other","Big city","None","Northeast","No","Less Than HS",0
22,2,67,21,14,"Middle class",4,"White","Big city","Catholic","Northeast","Yes","Some College",0
23,2,57,31,12,"Lower class",0,"White","Big city","Eastern","Northeast","No","HS Diploma",1
24,0,65,NA,16,"Upper class",0,"White","Big city","Protestant","Northeast","No","College Degree",NA
25,0,53,NA,16,"Middle class",0,"White","Big city","Catholic","Northeast","No","College Degree",NA
26,1,55,37,16,"Working class",0,"Other","Big city","Protestant","Northeast","Yes","College Degree",1
27,2,35,26,13,"Working class",0,"White","Big city","Jewish","Northeast","Yes","Some College",0
30,0,73,NA,16,"Middle class",1,"White","Big city","Jewish","Northeast","No","College Degree",NA
32,1,68,50,12,"Middle class",0,"Black","Big city","Catholic","Northeast","No","HS Diploma",1
34,1,55,NA,16,"Middle class",1,"Black","Big city","Catholic","Northeast","Yes","College Degree",NA
35,2,47,32,17,"Upper class",8,"White","Big city",NA,"Northeast","Yes","Grad/Prof Degree",1
36,1,58,32,16,"Middle class",1,"White","Big city","Jewish","Northeast","Yes","College Degree",1
38,0,29,NA,19,"Middle class",2,"White","Big city","Jewish","Northeast","No","Grad/Prof Degree",NA
39,1,82,NA,19,"Upper class",8,"White","Big city","None","Northeast","Yes","Grad/Prof Degree",NA
40,0,34,NA,18,"Middle class",3,"White","Big city","Protestant","Northeast","No","Grad/Prof Degree",NA
46,3,55,31,16,"Middle class",0,"Other","Big city","Other","Northeast","No","College Degree",1
48,0,33,NA,18,"Working class",0,"White","Big city","None","Northeast","No","Grad/Prof Degree",NA
49,0,26,NA,13,"Working class",2,"White","Big city","None","Northeast","Yes","Some College",NA
52,0,30,NA,17,"Middle class",5,"Other","Big city","None","Northeast","No","Grad/Prof Degree",NA
52,0,31,NA,15,"Working class",2,"Black","Big city","Protestant","Northeast","No","Some College",NA
53,0,37,NA,12,"Middle class",0,"Hispanic","Big city","Catholic","Northeast","Yes","HS Diploma",NA
54,2,49,37,12,"Middle class",0,"White","Smaller city","Catholic","Northeast","No","HS Diploma",1
55,0,23,NA,12,"Working class",7,"White","Smaller city","Catholic","Northeast","No","HS Diploma",NA
57,0,47,NA,16,"Middle class",1,"White","Smaller city","None","Northeast","No","College Degree",NA
59,3,33,NA,19,"Middle class",3,"White","Big city","Protestant","Northeast","Yes","Grad/Prof Degree",NA
59,2,55,27,16,"Middle class",2,"White","Smaller city","None","Northeast","Yes","College Degree",0
