"country","gender_inequality_index","maternal_mortality_ratio","adolescent_birth_rate","parliament_female","secondary_educ_female","secondary_educ_male","labor_force_participation_female","labor_force_participation_male","life_expectancy_female","life_expectancy_male","schooling_expected_female","schooling_expected_male","schooling_mean_female","schooling_mean_male","gni_per_capita_female","gni_per_capita_male","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Switzerland",1.8,5,2.2,39.8,96.9,97.5,61.7,72.7,85.9,82,16.4,16.6,13.5,14.2,54597,79451,96.2,84,16.5,13.9,66933,0.979442026889531
"Norway",1.6,2,2.3,45,99.1,99.3,60.3,72,84.9,81.6,18.9,17.5,13.1,12.9,54699,74445,96.1,83.2,18.2,13,64660,1.56270752404814
"Iceland",4.3,4,5.4,47.6,99.8,99.7,61.7,70.5,84.2,81.2,20.3,18.1,13.9,13.7,47136,64004,95.9,82.7,19.2,13.8,55782,1.90580487531791
"Australia",7.3,6,8.1,37.9,94.6,94.4,61.1,70.5,85.8,83.2,21.8,20.3,12.8,12.6,37486,61161,95.1,84.5,21.1,12.7,49238,2.55768984273048
"Denmark",1.3,4,1.9,39.7,95.1,95.2,57.7,66.7,83.3,79.5,19.3,18.1,13.2,12.8,49876,70961,94.8,81.4,18.7,13,60365,1.73425619968303
"Sweden",2.3,4,3.3,47,91.8,92.2,61.7,68,84.9,81.1,20.5,18.3,12.8,12.4,49580,59326,94.7,83,19.4,12.6,54489,1.97442434557187
"Ireland",7.4,5,5.9,27.3,88.1,86,56.5,68.6,83.8,80.2,19.2,18.6,11.8,11.4,61104,91506,94.5,82,18.9,11.6,76169,1.80287566993698
"Germany",7.3,7,7.5,34.8,96.1,96.5,56.8,66,83.2,78.1,17,17,13.8,14.3,46150,63143,94.2,80.6,17,14.1,54534,1.15099070252442
"Netherlands",2.5,5,2.8,39.1,89.8,92.7,62.4,71.3,83.4,80,19,18.4,12.4,12.8,46301,65778,94.1,81.7,18.7,12.6,55979,1.73425619968303
"Finland",3.3,3,4.2,46,99,98.5,56.5,64,84.7,79.3,19.9,18.3,13,12.7,41698,57394,94,82,19.1,12.9,49452,1.87149514019094
"Singapore",4,8,2.6,29.8,80.5,85.9,59.4,76.8,84.9,80.6,16.7,16.4,11.6,12.3,75094,105348,93.9,82.8,16.5,11.9,90919,0.979442026889531
"Belgium",4.8,5,5.3,42.9,87.2,89.7,49.8,58.8,84.3,79.4,20.7,18.5,12.3,12.4,42533,62295,93.7,81.9,19.6,12.4,52293,2.04304381582582
"New Zealand",8.8,9,12.6,49.2,82,81.8,65.1,75.3,84.3,80.6,20.8,19.7,12.9,13,36864,51377,93.7,82.5,20.3,12.9,44057,2.28321196171466
"Canada",6.9,10,7,34.4,100,100,60.8,69.7,84.7,80.6,16.9,15.9,13.9,13.7,38652,55065,93.6,82.7,16.4,13.8,46808,0.945132291762554
"Luxembourg",4.4,5,4.3,35,100,100,58.5,65.5,84.8,80.4,14.4,14.4,13,13,70117,98991,93,82.6,14.4,13,84649,0.258937589223011
"United Kingdom",9.8,7,10.5,31.1,99.8,99.8,58,67.1,82.8,78.7,17.8,16.8,13.4,13.4,37374,53265,92.9,80.7,17.3,13.4,45225,1.25391990790535
"Japan",8.3,5,2.9,14.2,95.9,92.7,53.3,71,87.7,81.8,15.2,15.2,13.3,13.4,30621,54597,92.5,84.8,15.2,13.4,42274,0.533415470238828
"Korea (Republic of)",6.7,11,2.2,19,83.1,93.1,53.4,72.4,86.8,80.4,16.1,16.9,11.9,13.2,29300,59737,92.5,83.7,16.5,12.5,44501,0.979442026889531
"United States",17.9,19,16,27,96.5,96.4,55.2,66.4,80.2,74.3,16.9,15.6,13.7,13.6,51539,78238,92.1,77.2,16.3,13.7,64765,0.910822556635577
"Israel",8.3,3,7.6,28.3,91.6,93.7,58.5,66.1,84.3,80.2,16.7,15.4,13.4,13.3,34960,48126,91.9,82.3,16.1,13.3,41524,0.842203086381623
"Malta",16.7,6,11.5,13.4,82.2,88.1,53.1,71.4,86.1,81.4,17.4,16.3,12,12.4,30282,46821,91.8,83.8,16.8,12.2,38884,1.08237123227046
"Slovenia",7.1,7,4.5,21.5,97.6,98.7,53.8,62.2,83.8,77.6,18.4,16.9,12.8,12.8,33038,46386,91.8,80.7,17.7,12.8,39746,1.39115884841326
"Austria",5.3,5,5.5,39.3,100,100,55.5,66.3,84.1,79,16.4,15.6,12,12.6,43414,64148,91.6,81.6,16,12.3,53619,0.807893351254645
"United Arab Emirates",4.9,3,3.1,50,82,85.6,46.5,88,80.9,77.2,16.5,15.2,12.5,12.8,28921,77318,91.1,78.7,15.7,12.7,62574,0.704964145873713
"Spain",5.7,4,6.3,42.3,78.5,83.2,52.7,62.4,85.8,80.2,18.4,17.4,10.5,10.7,31213,45784,90.5,83,17.9,10.6,38354,1.45977831866721
"France",8.3,8,9.5,37.8,83.5,87.9,51.9,59.7,85.5,79.4,16.2,15.5,11.4,11.8,38403,53988,90.3,82.5,15.8,11.6,45937,0.739273881000691
"Cyprus",12.3,6,6.8,14.3,81.1,84.8,56.6,68.8,83.2,79.2,15.7,15.6,12.4,12.5,30617,45735,89.6,81.2,15.6,12.4,38188,0.670654410746736
"Italy",5.6,2,4,35.3,78.6,86.1,39.9,57.6,85.1,80.5,16.6,15.9,10.6,10.9,31100,55187,89.5,82.9,16.2,10.7,42840,0.876512821508599
"Estonia",10,9,8.8,25.7,97.6,98.1,57.5,70.2,81.2,72.8,16.8,15.1,13.8,13.3,30995,45866,89,77.1,15.9,13.5,38048,0.773583616127668
"Czechia",12,3,9.7,22.1,99.8,99.8,51.7,68.1,80.9,74.7,16.8,15.7,12.7,13,30455,47289,88.9,77.7,16.2,12.9,38745,0.876512821508599
"Greece",11.9,3,8.5,21.7,69.9,77.8,43.3,58.1,82.9,77.5,20.1,20,11.1,11.7,22890,35368,88.7,80.1,20,11.4,29002,2.18028275633373
"Poland",10.9,2,9.7,27.5,86.5,90.7,49.2,65.5,80.4,72.6,16.8,15.3,13.3,13,25261,41336,87.6,76.5,16,13.2,33034,0.807893351254645
"Bahrain",18.1,14,8.7,18.8,79.9,83.1,42.4,83.5,80,77.8,17,15.9,10.8,11.2,16786,53359,87.5,78.8,16.3,11,39497,0.910822556635577
"Lithuania",10.5,8,10.4,27.7,95.5,97.9,57.3,67.9,78.8,68.8,16.7,15.9,13.6,13.4,33891,42500,87.5,73.7,16.3,13.5,37931,0.910822556635577
