country,life_expectancy_female,life_expectancy_male,schooling_expected_female,schooling_expected_male,schooling_mean_female,schooling_mean_male,gni_per_capita_female,gni_per_capita_male
Switzerland,85.9,82.0,16.4,16.6,13.5,14.2,"54,597","79,451"
Norway,84.9,81.6,18.9,17.5,13.1,12.9,"54,699","74,445"
Iceland,84.2,81.2,20.3,18.1,13.9,13.7,"47,136","64,004"
"Hong Kong, China (SAR)",88.3,82.7,17.6,17.0,11.8,12.7,"51,735","75,307"
Australia,85.8,83.2,21.8,20.3,12.8,12.6,"37,486","61,161"
Denmark,83.3,79.5,19.3,18.1,13.2,12.8,"49,876","70,961"
Sweden,84.9,81.1,20.5,18.3,12.8,12.4,"49,580","59,326"
Ireland,83.8,80.2,19.2,18.6,11.8,11.4,"61,104","91,506"
Germany,83.2,78.1,17.0,17.0,13.8,14.3,"46,150","63,143"
Netherlands,83.4,80.0,19.0,18.4,12.4,12.8,"46,301","65,778"
Finland,84.7,79.3,19.9,18.3,13.0,12.7,"41,698","57,394"
Singapore,84.9,80.6,16.7,16.4,11.6,12.3,"75,094","105,348"
Belgium,84.3,79.4,20.7,18.5,12.3,12.4,"42,533","62,295"
New Zealand,84.3,80.6,20.8,19.7,12.9,13.0,"36,864","51,377"
Canada,84.7,80.6,16.9,15.9,13.9,13.7,"38,652","55,065"
Liechtenstein,85.4,81.1,14.2,16.2,,,,
Luxembourg,84.8,80.4,14.4,14.4,13.0,13.0,"70,117","98,991"
United Kingdom,82.8,78.7,17.8,16.8,13.4,13.4,"37,374","53,265"
Japan,87.7,81.8,15.2,15.2,13.3,13.4,"30,621","54,597"
Korea (Republic of),86.8,80.4,16.1,16.9,11.9,13.2,"29,300","59,737"
United States,80.2,74.3,16.9,15.6,13.7,13.6,"51,539","78,238"
Israel,84.3,80.2,16.7,15.4,13.4,13.3,"34,960","48,126"
Malta,86.1,81.4,17.4,16.3,12.0,12.4,"30,282","46,821"
Slovenia,83.8,77.6,18.4,16.9,12.8,12.8,"33,038","46,386"
Austria,84.1,79.0,16.4,15.6,12.0,12.6,"43,414","64,148"
United Arab Emirates,80.9,77.2,16.5,15.2,12.5,12.8,"28,921","77,318"
Spain,85.8,80.2,18.4,17.4,10.5,10.7,"31,213","45,784"
France,85.5,79.4,16.2,15.5,11.4,11.8,"38,403","53,988"
Cyprus,83.2,79.2,15.7,15.6,12.4,12.5,"30,617","45,735"
Italy,85.1,80.5,16.6,15.9,10.6,10.9,"31,100","55,187"
Estonia,81.2,72.8,16.8,15.1,13.8,13.3,"30,995","45,866"
Czechia,80.9,74.7,16.8,15.7,12.7,13.0,"30,455","47,289"
Greece,82.9,77.5,20.1,20.0,11.1,11.7,"22,890","35,368"
Poland,80.4,72.6,16.8,15.3,13.3,13.0,"25,261","41,336"
Bahrain,80.0,77.8,17.0,15.9,10.8,11.2,"16,786","53,359"
Lithuania,78.8,68.8,16.7,15.9,13.6,13.4,"33,891","42,500"
Saudi Arabia,78.8,75.6,16.2,16.1,10.7,11.7,"20,678","64,708"
Portugal,84.1,77.8,17.0,16.7,9.6,9.5,"28,713","38,127"
Latvia,77.8,69.2,16.8,15.6,13.6,12.9,"27,882","38,506"
Andorra,84.3,77.2,,,10.5,10.6,,
Croatia,81.1,74.2,15.9,14.4,11.9,12.5,"23,888","36,713"
Chile,81.4,76.5,17.0,16.5,10.8,11.0,"17,553","31,677"
Qatar,80.9,78.3,14.5,12.1,11.6,9.6,"42,101","104,066"
San Marino,83.5,78.4,11.8,12.8,10.9,10.7,,
Slovakia,78.4,71.5,15.0,14.0,12.9,13.0,"24,849","36,813"
Hungary,77.9,71.1,15.3,14.8,12.1,12.4,"25,909","40,262"
Argentina,78.6,72.2,19.2,16.6,11.4,10.9,"15,581","26,376"
Türkiye,79.1,73.0,17.9,18.8,7.9,9.4,"19,079","42,929"
Montenegro,79.8,73.0,15.6,14.6,11.8,12.6,"15,935","26,001"
Kuwait,81.5,77.2,17.0,13.9,8.1,6.9,"28,086","68,827"
Brunei Darussalam,76.9,72.6,14.4,13.5,9.2,9.2,"47,579","80,261"
Russian Federation,74.8,64.2,16.0,15.6,12.8,12.8,"21,857","33,288"
Romania,77.9,70.6,14.7,13.8,11.0,11.6,"24,554","35,874"
Oman,74.7,71.0,15.0,14.5,12.1,11.4,"7,169","39,717"
Bahamas,75.1,68.1,,,12.7,12.6,"25,897","35,495"
Kazakhstan,73.1,65.5,16.0,15.5,12.4,12.3,"18,976","29,305"
Trinidad and Tobago,76.4,69.7,14.8,14.2,11.7,11.5,"16,794","30,166"
Costa Rica,79.8,74.4,17.1,16.0,8.9,8.7,"16,568","23,376"
Uruguay,79.3,71.7,17.3,15.4,9.3,8.7,"17,125","25,680"
Belarus,77.7,67.3,15.3,15.0,12.2,12.1,"15,158","23,165"
Panama,79.6,73.0,13.6,12.5,10.8,10.3,"23,380","30,531"
Malaysia,77.4,72.7,13.8,12.9,10.6,10.7,"20,672","32,380"
Georgia,76.7,66.8,15.9,15.2,12.9,12.8,"11,285","18,472"
Mauritius,76.8,70.4,15.9,14.5,10.0,10.9,"15,016","29,221"
Serbia,77.2,71.2,15.0,13.9,11.0,11.8,"15,306","23,270"
Thailand,83.0,74.5,16.2,15.6,8.6,8.8,"15,457","18,694"
Albania,79.2,74.1,15.3,13.7,11.7,10.9,"11,637","16,630"
Bulgaria,75.5,68.4,14.2,13.6,11.5,11.3,"18,109","28,357"
Grenada,77.9,72.2,19.3,18.1,,,,
Barbados,79.4,75.6,17.7,13.8,10.3,9.1,"10,235","14,555"
Antigua and Barbuda,80.9,75.8,15.2,13.2,,,,
Seychelles,75.7,67.7,15.1,12.9,10.2,10.4,,
Sri Lanka,79.5,73.1,14.5,13.8,10.8,10.8,"7,005","18,573"
Bosnia and Herzegovina,77.5,73.1,14.1,13.5,9.8,11.4,"10,709","19,917"
Saint Kitts and Nevis,75.3,68.3,16.0,14.9,,,,
Iran (Islamic Republic of),76.8,71.2,14.7,14.5,10.6,10.7,"3,767","22,041"
Ukraine,76.7,66.5,15.0,14.9,11.5,10.7,"10,370","16,605"
North Macedonia,76.2,71.7,13.9,13.4,9.7,10.8,"11,147","20,716"
China,81.2,75.5,14.8,13.7,7.3,7.9,"13,980","20,883"
