"country","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Switzerland",96.2,84,16.5,13.9,66933,1.01489879092095
"Norway",96.1,83.2,18.2,13,64660,1.59588898381945
"Iceland",95.9,82.7,19.2,13.8,55782,1.93764792081857
"Hong Kong, China (SAR)",95.2,85.5,17.3,12.2,62607,1.28830594052025
"Australia",95.1,84.5,21.1,12.7,49238,2.5869899011169
"Denmark",94.8,81.4,18.7,13,60365,1.76676845231901
"Sweden",94.7,83,19.4,12.6,54489,2.0059997082184
"Ireland",94.5,82,18.9,11.6,76169,1.83512023971884
"Germany",94.2,80.6,17,14.1,54534,1.18577825942051
"Netherlands",94.1,81.7,18.7,12.6,55979,1.76676845231901
"Finland",94,82,19.1,12.9,49452,1.90347202711866
"Singapore",93.9,82.8,16.5,11.9,90919,1.01489879092095
"Belgium",93.7,81.9,19.6,12.4,52293,2.07435149561822
"New Zealand",93.7,82.5,20.3,12.9,44057,2.31358275151761
"Canada",93.6,82.7,16.4,13.8,46808,0.980722897221036
"Liechtenstein",93.5,83.3,15.2,12.5,146830,0.570612172822092
"Luxembourg",93,82.6,14.4,13,84649,0.297205023222796
"United Kingdom",92.9,80.7,17.3,13.4,45225,1.28830594052025
"Japan",92.5,84.8,15.2,13.4,42274,0.570612172822092
"Korea (Republic of)",92.5,83.7,16.5,12.5,44501,1.01489879092095
"United States",92.1,77.2,16.3,13.7,64765,0.946547003521125
"Israel",91.9,82.3,16.1,13.3,41524,0.878195216121301
"Malta",91.8,83.8,16.8,12.2,38884,1.11742647202069
"Slovenia",91.8,80.7,17.7,12.8,39746,1.42500951531989
"Austria",91.6,81.6,16,12.3,53619,0.844019322421388
"United Arab Emirates",91.1,78.7,15.7,12.7,62574,0.741491641321652
"Spain",90.5,83,17.9,10.6,38354,1.49336130271972
"France",90.3,82.5,15.8,11.6,45937,0.775667535021564
"Cyprus",89.6,81.2,15.6,12.4,38188,0.70731574762174
"Italy",89.5,82.9,16.2,10.7,42840,0.912371109821212
"Estonia",89,77.1,15.9,13.5,38048,0.809843428721476
"Czechia",88.9,77.7,16.2,12.9,38745,0.912371109821212
"Greece",88.7,80.1,20,11.4,29002,2.21105507041787
"Poland",87.6,76.5,16,13.2,33034,0.844019322421388
"Bahrain",87.5,78.8,16.3,11,39497,0.946547003521125
"Lithuania",87.5,73.7,16.3,13.5,37931,0.946547003521125
"Saudi Arabia",87.5,76.9,16.1,11.3,46112,0.878195216121301
"Portugal",86.6,81,16.9,9.6,33155,1.1516023657206
"Latvia",86.3,73.6,16.2,13.3,32803,0.912371109821212
"Andorra",85.8,80.4,13.3,10.6,51167,-0.0787298074762367
"Croatia",85.8,77.6,15.1,12.2,30132,0.53643627912218
"Chile",85.5,78.9,16.7,10.9,24563,1.08325057832077
"Qatar",85.5,79.3,12.6,10,87134,-0.317961063375621
"San Marino",85.3,80.9,12.3,10.8,52654,-0.420488744475357
"Slovakia",84.8,74.9,14.5,12.9,30690,0.331380916922708
