"qkey","gender","use_facebook","use_twitter","news_social_media","age_cat","educ_cat","racethn","news_trust","ideology","misinformation"
"100363","Woman",1,0,"Sometimes","30-49","College Grad+","White","Some","Moderate",1
"100598","Woman",0,0,"Never","50-64","College Grad+","White","Not at all","Conservative",2
"100637","Woman",NA,1,"Never","65+","Some College","White","Not at all","Conservative",2
"101437","Woman",1,0,"Rarely","50-64","Some College","White","Not too much","Very Conservative",2
"101485","Woman",1,1,"Often","50-64","Some College","Other","Not at all","Conservative",1
"101493","Man",0,1,"Often","50-64","Some College","Hispanic","Some","Conservative",1
"103060","Woman",1,0,"Never","65+","Some College","White","Not at all","Liberal",2
"103379","Man",0,0,"Never","65+","Some College","White","Not at all","Conservative",1
"103956","Woman",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",2
"104491","Woman",1,0,"Rarely","65+","Some College","White","Not too much","Liberal",1
"104689","Woman",1,0,"Sometimes","65+","HS Grad or Less","White","Some","Moderate",2
"105205","Woman",0,0,"Never","50-64","Some College","White","Not at all","Very Conservative",2
"106885","Woman",1,0,"Rarely","65+","College Grad+","Hispanic","Some","Conservative",1
"107023","Woman",1,0,"Sometimes","50-64","College Grad+","Black","Not too much","Conservative",1
"107668","Woman",1,0,"Rarely","50-64","College Grad+","White","Not too much","Moderate",1
"110353","Woman",1,0,"Often","65+","Some College","White","Some","Conservative",1
"111927","Woman",0,0,"Sometimes","65+","HS Grad or Less","White","Not at all","Moderate",2
"112371","Woman",1,0,"Sometimes","50-64","College Grad+","Hispanic","Not too much","Conservative",2
"112613","Woman",1,0,"Never","65+","College Grad+","White","Not at all","Moderate",1
"112984","Woman",1,NA,"Rarely","50-64","College Grad+","White","Not at all","Very Liberal",1
"113274","Man",1,1,"Sometimes","50-64","College Grad+","Asian","A lot","Conservative",2
"113412","Woman",1,0,"Sometimes","65+","Some College","White","Not too much","Conservative",2
"114898","Woman",1,0,"Sometimes","65+","College Grad+","White","Not too much","Conservative",2
"115546","Man",1,1,"Sometimes","50-64","College Grad+","White","Not too much","Moderate",2
"116182","Man",1,0,"Rarely","65+","Some College","White","Not too much","Conservative",1
"116264","Woman",1,0,"Often","65+","College Grad+","White","Not at all","Moderate",1
"116439","Woman",1,0,"Rarely","65+","College Grad+","White","Not too much","Moderate",2
"116617","Man",1,1,"Sometimes","50-64","College Grad+","White","Some","Moderate",1
"116832","Man",0,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"117395","Woman",1,1,"Rarely","65+","College Grad+","White","Not too much","Moderate",1
"118242","Woman",0,0,"Never","50-64","Some College","Hispanic","Not at all","Moderate",2
"118888","Woman",1,0,"Sometimes","65+","College Grad+","White","Some","Liberal",2
"119121","Woman",1,0,"Rarely","65+","Some College","White","Not at all","Liberal",1
"119128","Woman",1,0,"Often","65+","College Grad+","White","Not too much","Conservative",2
"119392","Woman",1,0,"Sometimes","50-64","HS Grad or Less","White","Some","Moderate",2
"120118","Woman",1,0,"Sometimes","50-64","Some College","White","Some","Conservative",2
"120343","Woman",0,1,"Never","65+","Some College","White","Not at all","Conservative",2
"121158","Woman",NA,0,"Sometimes","65+","College Grad+","White","Not too much","Conservative",2
"121582","Woman",1,NA,"Often","65+","College Grad+","Other","A lot","Very Conservative",2
"121882","Man",0,0,"Rarely","65+","College Grad+","White","Not at all","Very Conservative",2
"124997","Woman",1,0,"Never","65+","Some College","White","Not at all","Moderate",1
"125421","Woman",0,0,"Never","65+","Some College","White","Not at all","Moderate",1
"126190","Man",0,0,"Sometimes","65+","College Grad+","White","Not too much","Moderate",1
"127160","Woman",0,0,"Never","30-49","College Grad+","Other","Not at all","Very Conservative",2
"127250","Woman",1,0,"Often","65+","HS Grad or Less","White","Some","Conservative",1
"127800","Woman",1,0,"Rarely","30-49","Some College","White","Not at all","Conservative",2
"128214","Woman",1,0,"Sometimes","30-49","Some College","Other","Some","Moderate",2
"128285","Man",1,1,"Never","65+","College Grad+","White","Not too much","Moderate",1
"131599","Man",0,0,"Never","65+","College Grad+","White","Not at all","Very Conservative",2
"132146","Woman",1,1,"Sometimes","50-64","Some College","White","Some","Moderate",1
"132240","Woman",0,0,"Never","50-64","College Grad+","White","Not at all","Conservative",2
"132973","Woman",1,1,"Sometimes","65+","HS Grad or Less","White","Some","Moderate",1
"133114","Man",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",1
"135184","Man",0,0,"Never","50-64","College Grad+","White","Not too much","Very Conservative",2
"135751","Man",0,0,"Never","65+","College Grad+","White","Not at all","Liberal",1
