"year","age","racehisp","degree","eqwlth","conlegis"
2010,31,"Hispanic","Bachelor",3,"Only Some"
2010,23,"White","Bachelor",2,"Hardly Any"
2010,71,"Hispanic","Less Than High School",NA,NA
2010,82,"Hispanic","Less Than High School",7,"Only Some"
2010,78,"Black","Less Than High School",1,NA
2010,40,"Black","Less Than High School",4,"Only Some"
2010,46,"Black","Junior College",4,"Only Some"
2010,80,"Black","Junior College",NA,NA
2010,31,"Black","High School",4,"A Great Deal"
2010,NA,"Hispanic","High School",NA,NA
2010,31,"Black","Junior College",1,"A Great Deal"
2010,21,"Other","High School",NA,NA
2010,58,"Black","High School",NA,NA
2010,36,"Hispanic","High School",NA,NA
2010,57,"White","Less Than High School",7,"Hardly Any"
2010,28,"Hispanic","Less Than High School",1,"Hardly Any"
2010,80,"White","Junior College",NA,NA
2010,84,"White","Less Than High School",4,"Only Some"
2010,51,"Hispanic","High School",1,"Only Some"
2010,35,"White","Bachelor",1,"Only Some"
2010,49,"White","High School",4,"Only Some"
2010,56,"White","High School",NA,NA
2010,88,"Black","Less Than High School",NA,NA
2010,23,"Black","Less Than High School",4,"A Great Deal"
2010,35,"White","Graduate",1,"Only Some"
2010,26,"Hispanic","Bachelor",6,"Only Some"
2010,21,"Other","High School",NA,NA
2010,21,"Other","Junior College",1,"Only Some"
2010,33,"White","Bachelor",NA,NA
2010,53,"White","Bachelor",3,"Hardly Any"
2010,63,"White","Graduate",2,"Only Some"
2010,34,"White","Graduate",5,"Only Some"
2010,75,"White","Junior College",NA,NA
2010,78,"White","Bachelor",5,"Only Some"
2010,57,"Hispanic","High School",NA,NA
2010,43,"White","Graduate",3,"Hardly Any"
2010,84,"White","Bachelor",2,"Hardly Any"
2010,53,"White","Graduate",NA,NA
2010,83,"White","High School",3,"Hardly Any"
2010,69,"White","Graduate",NA,NA
2010,24,"White","Bachelor",3,"Only Some"
2010,33,"Other","Graduate",2,"Hardly Any"
2010,23,"White","High School",NA,NA
2010,25,"Hispanic","Graduate",1,"Only Some"
2010,66,"White","Graduate",NA,"Hardly Any"
2010,20,"Hispanic","High School",1,"Hardly Any"
2010,37,"Hispanic","High School",1,"Only Some"
2010,64,"Black","High School",7,"A Great Deal"
2010,45,"White","High School",7,"Hardly Any"
2010,40,"Hispanic","High School",7,"Only Some"
2010,80,"Black","Bachelor",1,"Hardly Any"
2010,60,"White","High School",7,"Hardly Any"
2010,49,"White","Bachelor",6,"Only Some"
2010,22,"White","Bachelor",3,"Only Some"
2010,63,"White","Graduate",5,"Hardly Any"
2010,72,"White","Bachelor",1,"Hardly Any"
2010,42,"Black","Less Than High School",3,"Only Some"
2010,54,"Black","Bachelor",7,"Only Some"
2010,21,"Black","High School",1,"Hardly Any"
2010,26,"White","Bachelor",NA,NA
2010,31,"White","Bachelor",6,"Only Some"
2010,41,"Hispanic","Junior College",3,"A Great Deal"
2010,84,"White","Less Than High School",NA,"A Great Deal"
2010,19,"Hispanic","High School",5,"Only Some"
2010,34,"White","Bachelor",NA,NA
2010,44,"White","Bachelor",5,"Only Some"
2010,45,"White","High School",5,"Only Some"
2010,28,"White","High School",3,"Only Some"
2010,46,"White","High School",3,"Only Some"
2010,50,"White","High School",1,"Only Some"
2010,40,"White","High School",7,"Hardly Any"
2010,42,"White","Graduate",3,"Hardly Any"
2010,19,"Other","Less Than High School",1,"Only Some"
2010,53,"White","Junior College",NA,NA
2010,39,"White","Junior College",1,"Hardly Any"
2010,40,"White","Bachelor",NA,NA
2010,44,"White","High School",NA,NA
2010,58,"White","High School",NA,NA
2010,46,"White","Junior College",1,"Hardly Any"
2010,66,"White","High School",5,"Hardly Any"
2010,48,"White","Graduate",NA,NA
2010,88,"White","High School",7,"Hardly Any"
2010,45,"White","Junior College",4,"Hardly Any"
2010,38,"White","High School",NA,NA
2010,22,"Black","High School",5,"Only Some"
2010,23,"White","Bachelor",6,"A Great Deal"
2010,41,"White","Bachelor",NA,NA
2010,23,"Hispanic","High School",3,"Only Some"
2010,60,"White","High School",NA,NA
2010,80,"White","Less Than High School",6,"Hardly Any"
2010,56,"Hispanic","Less Than High School",6,"Only Some"
2010,43,"Black","Bachelor",NA,NA
2010,31,"Black","Bachelor",NA,"Only Some"
2010,24,"Hispanic","Less Than High School",4,NA
2010,39,"Black","Junior College",NA,NA
2010,20,"Hispanic","Less Than High School",4,"Only Some"
2010,55,"Other","Bachelor",NA,NA
2010,45,"White","High School",NA,NA
2010,50,"White","High School",4,"Only Some"
2010,69,"White","Graduate",1,"Only Some"
2010,50,"Other","Bachelor",3,"A Great Deal"
2010,31,"Hispanic","High School",NA,NA
2010,59,"White","High School",4,NA
2010,50,"White","High School",NA,NA
2010,51,"White","Bachelor",4,"Hardly Any"
2010,68,"White","High School",NA,NA
2010,61,"White","Graduate",NA,NA
2010,50,"White","Bachelor",NA,NA
2010,51,"White","Bachelor",NA,NA
2010,43,"White","Graduate",NA,NA
2010,19,"Black","Less Than High School",4,"A Great Deal"
2010,35,"White","Bachelor",4,"Only Some"
2010,64,"White","Graduate",4,"Hardly Any"
2010,44,"White","High School",4,"Hardly Any"
2010,40,"White","Graduate",3,"Hardly Any"
2010,59,"White","Bachelor",NA,NA
2010,36,"Hispanic","Bachelor",NA,"Hardly Any"
2010,65,"White","High School",1,"Hardly Any"
2010,46,"Other","Graduate",3,"Hardly Any"
2010,33,"Hispanic","High School",NA,NA
2010,21,"Hispanic","Less Than High School",1,"Only Some"
2010,24,"White","High School",5,"Only Some"
2010,36,"Hispanic","Less Than High School",5,"Only Some"
2010,27,"Hispanic","Junior College",NA,NA
2010,32,"White","High School",5,"A Great Deal"
2010,68,"White","High School",NA,NA
2010,63,"White","High School",3,"Only Some"
2010,80,"White","Bachelor",4,"Only Some"
2010,72,"White","Bachelor",NA,NA
2010,24,"Hispanic","Less Than High School",7,"A Great Deal"
2010,37,"White","Bachelor",1,NA
2010,45,"Hispanic","Less Than High School",NA,NA
2010,52,"Hispanic","Less Than High School",4,"Only Some"
2010,49,"White","Graduate",4,"Only Some"
2010,42,"Hispanic","Less Than High School",1,"Only Some"
2010,42,"White","Less Than High School",7,NA
2010,37,"White","High School",5,"Hardly Any"
2010,35,"White","High School",NA,NA
2010,51,"Hispanic","High School",7,"Hardly Any"
2010,66,"Other","Graduate",NA,NA
2010,28,"White","High School",NA,NA
2010,39,"White","High School",4,NA
2010,47,"White","High School",7,"Only Some"
2010,48,"White","Bachelor",NA,NA
2010,49,"Other","Graduate",6,"Only Some"
2010,20,"White","High School",3,"A Great Deal"
2010,70,"Hispanic","Less Than High School",4,"Hardly Any"
2010,42,"Hispanic","Less Than High School",5,"Only Some"
2010,35,"Hispanic","Less Than High School",NA,NA
2010,40,"White","High School",4,NA
2010,68,"Other","Graduate",NA,NA
2010,34,"Other","Bachelor",6,"Hardly Any"
2010,30,"Hispanic","High School",NA,NA
2010,25,"Hispanic","Less Than High School",4,"Only Some"
2010,36,"Hispanic","Less Than High School",NA,NA
2010,54,"Hispanic","High School",5,"Only Some"
2010,58,"Hispanic","High School",4,"Only Some"
2010,55,"Hispanic","High School",NA,NA
2010,34,"Hispanic","Less Than High School",5,"Only Some"
2010,29,"Black","Bachelor",NA,NA
2010,20,"Hispanic","High School",5,"Only Some"
2010,41,"Black","High School",3,"A Great Deal"
2010,40,"White","Graduate",2,"Only Some"
2010,71,"White","Bachelor",2,"Only Some"
2010,23,"Hispanic","High School",3,"Only Some"
2010,49,"White","High School",1,"Hardly Any"
2010,44,"White","Junior College",3,"Only Some"
2010,20,"White","High School",3,"Only Some"
2010,24,"White","Bachelor",NA,NA
2010,29,"White","High School",5,"Only Some"
2010,56,"White","Graduate",4,"Only Some"
2010,24,"White","High School",5,"Hardly Any"
2010,60,"White","High School",4,"Hardly Any"
2010,52,"White","Graduate",NA,NA
2010,51,"White","High School",5,"Hardly Any"
2010,64,"White","Junior College",NA,NA
2010,23,"White","High School",3,"Only Some"
2010,46,"White","Less Than High School",7,"Hardly Any"
2010,34,"White","Bachelor",NA,NA
2010,29,"Hispanic","Bachelor",5,"Only Some"
2010,28,"White","Graduate",NA,NA
2010,39,"White","Junior College",5,"Only Some"
2010,33,"White","Graduate",2,"Only Some"
2010,24,"Black","High School",1,"Only Some"
2010,34,"Hispanic","High School",3,"Only Some"
2010,24,"White","Bachelor",NA,NA
2010,30,"White","Bachelor",5,"Only Some"
2010,25,"White","Bachelor",1,"Hardly Any"
2010,41,"White","Bachelor",3,"Only Some"
2010,37,"Other","Junior College",1,"Hardly Any"
2010,48,"White","Bachelor",3,"Only Some"
2010,28,"White","High School",NA,NA
2010,30,"White","Graduate",7,"Hardly Any"
2010,34,"Other","Graduate",7,"Hardly Any"
2010,67,"Other","Bachelor",6,"Hardly Any"
2010,64,"Hispanic","Graduate",NA,NA
2010,80,"White","Graduate",7,"Hardly Any"
2010,52,"White","High School",1,"Only Some"
2010,29,"Hispanic","Bachelor",2,"Only Some"
2010,24,"Black","High School",NA,NA
2010,42,"Black","Graduate",3,"Only Some"
2010,89,"Black","Graduate",NA,NA
2010,61,"Black","Less Than High School",1,"A Great Deal"
2010,35,"Black","High School",NA,NA
2010,44,"Black","High School",5,"A Great Deal"
2010,60,"Black","High School",NA,NA
2010,28,"Black","High School",1,"Hardly Any"
2010,27,"White","Bachelor",1,"Hardly Any"
2010,38,"White","Bachelor",NA,NA
2010,34,"White","Bachelor",NA,NA
2010,18,"Hispanic","Less Than High School",6,"Only Some"
2010,35,"Hispanic","Less Than High School",2,"Hardly Any"
2010,29,"Hispanic","High School",NA,NA
2010,32,"Hispanic","Less Than High School",1,"Only Some"
2010,63,"Black","Graduate",1,"Only Some"
2010,80,"Black","High School",NA,NA
2010,52,"Other","Graduate",7,"Hardly Any"
2010,25,"White","Bachelor",5,"A Great Deal"
2010,70,"White","High School",6,"Hardly Any"
2010,35,"Other","Graduate",NA,NA
