abany,year,class,courts,nateduc,region,born,racehisp,sex,degree,marital,wrkslf
NA,2010,Middle class,About right,NA,Mid Atlantic,No,Hispanic,Male,Bachelor,Never Married,Someone else
NA,2010,Working class,Too harsh,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Never Married,Someone else
No,2010,Lower class,Not harsh enough,Too little,Mid Atlantic,No,Hispanic,Female,Lt high school,Div/Sep,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,Lt high school,Widowed,NA
NA,2010,Middle class,Not harsh enough,About right,Mid Atlantic,No,Black,Female,Lt high school,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Mid Atlantic,No,Black,Male,Lt high school,Never Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Black,Female,Junior college,Div/Sep,Someone else
No,2010,Lower class,Not harsh enough,About right,Mid Atlantic,Yes,Black,Female,Junior college,Widowed,Someone else
No,2010,Working class,About right,Too little,Mid Atlantic,No,Black,Female,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,High school,Never Married,Someone else
NA,2010,Working class,Too harsh,Too little,Mid Atlantic,Yes,Black,Female,Junior college,Never Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Other,Male,High school,Never Married,NA
No,2010,Working class,Too harsh,Too little,Mid Atlantic,Yes,Black,Male,High school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,Hispanic,Female,High school,Div/Sep,NA
NA,2010,Lower class,Not harsh enough,Too much,Mid Atlantic,Yes,White,Female,Lt high school,Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,Lt high school,Never Married,Someone else
No,2010,Middle class,Not harsh enough,About right,Mid Atlantic,Yes,White,Female,Junior college,Widowed,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Lt high school,Widowed,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,No,Hispanic,Male,High school,Married,NA
NA,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,Bachelor,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,High school,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
No,2010,Middle class,NA,Too little,Mid Atlantic,Yes,Black,Female,Lt high school,Never Married,Someone else
NA,2010,Lower class,Not harsh enough,NA,Mid Atlantic,Yes,Black,Female,Lt high school,Never Married,NA
NA,2010,Middle class,Too harsh,About right,Mid Atlantic,No,White,Female,Graduate,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,Bachelor,Never Married,Someone else
No,2010,NA,Not harsh enough,Too little,Mid Atlantic,Yes,Other,Female,High school,Never Married,NA
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,Other,Female,Junior college,Never Married,Someone else
Yes,2010,Working class,NA,NA,Mid Atlantic,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2010,Upper class,About right,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Div/Sep,Self-employed
Yes,2010,Upper class,NA,NA,Mid Atlantic,Yes,White,Female,Graduate,Married,Self-employed
Yes,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,No,White,Male,Graduate,Married,Someone else
NA,2010,Middle class,NA,NA,Mid Atlantic,Yes,White,Male,Junior college,Widowed,Someone else
No,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
No,2010,Middle class,Too harsh,NA,Mid Atlantic,Yes,Hispanic,Male,High school,Widowed,Someone else
NA,2010,Middle class,NA,NA,Mid Atlantic,Yes,White,Male,Graduate,Married,Someone else
Yes,2010,Middle class,NA,NA,Mid Atlantic,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,No,White,Male,Graduate,Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Widowed,Someone else
Yes,2010,Middle class,About right,NA,Mid Atlantic,Yes,White,Male,Graduate,Married,Someone else
Yes,2010,Middle class,NA,NA,Mid Atlantic,Yes,White,Male,Bachelor,Never Married,Self-employed
NA,2010,Working class,NA,NA,Mid Atlantic,Yes,Other,Male,Graduate,Never Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,Yes,Hispanic,Male,Graduate,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,Mid Atlantic,No,White,Female,Graduate,Married,Self-employed
NA,2010,Lower class,About right,NA,Mid Atlantic,Yes,Hispanic,Male,High school,Never Married,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Hispanic,Female,High school,Never Married,Someone else
No,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,Black,Male,High school,Div/Sep,NA
NA,2010,Working class,Not harsh enough,NA,New England,Yes,White,Male,High school,Div/Sep,Someone else
NA,2010,Working class,NA,NA,New England,No,Hispanic,Female,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,New England,Yes,Black,Male,Bachelor,Div/Sep,Someone else
NA,2010,Middle class,Not harsh enough,NA,New England,Yes,White,Male,High school,Married,Someone else
NA,2010,Upper class,Not harsh enough,Too little,New England,Yes,White,Male,Bachelor,Married,Someone else
Yes,2010,Working class,About right,NA,New England,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,NA,New England,No,White,Female,Graduate,Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,Black,Female,Lt high school,Div/Sep,Self-employed
No,2010,Working class,NA,NA,Mid Atlantic,No,Black,Female,Bachelor,Married,Someone else
NA,2010,Lower class,Too harsh,NA,Mid Atlantic,Yes,Black,Female,High school,Never Married,Someone else
Yes,2010,Middle class,Too harsh,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Never Married,Someone else
NA,2010,Middle class,Not harsh enough,Too little,Mid Atlantic,No,White,Male,Bachelor,Never Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,Junior college,Never Married,Someone else
NA,2010,Middle class,About right,About right,Mid Atlantic,Yes,White,Female,Lt high school,Widowed,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,No,Hispanic,Male,High school,Never Married,NA
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,Bachelor,Married,Someone else
No,2010,Working class,Not harsh enough,About right,Mid Atlantic,Yes,White,Female,Bachelor,Married,Someone else
NA,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Lower class,About right,NA,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Div/Sep,Someone else
No,2010,Middle class,Not harsh enough,Too much,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Graduate,Married,Someone else
Yes,2010,Working class,About right,About right,Mid Atlantic,No,Other,Female,Lt high school,Never Married,NA
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,Junior college,Div/Sep,Someone else
NA,2010,Middle class,Too harsh,Too little,Mid Atlantic,Yes,White,Female,Junior college,Div/Sep,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,Bachelor,Div/Sep,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,High school,Married,Someone else
No,2010,Working class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
NA,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Male,Junior college,Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Female,High school,Div/Sep,Someone else
Yes,2010,Middle class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Graduate,Never Married,Someone else
NA,2010,Working class,Not harsh enough,About right,Mid Atlantic,Yes,White,Male,High school,Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Junior college,Married,Someone else
No,2010,Lower class,About right,About right,Mid Atlantic,Yes,White,Male,High school,Never Married,Someone else
NA,2010,Working class,About right,NA,Mid Atlantic,Yes,Black,Female,High school,Never Married,Someone else
No,2010,Working class,Not harsh enough,Too little,Mid Atlantic,Yes,White,Male,Bachelor,Never Married,Someone else
Yes,2010,Working class,Not harsh enough,NA,Mid Atlantic,Yes,White,Female,Bachelor,Never Married,Someone else
No,2010,Middle class,Not harsh enough,NA,Mid Atlantic,No,Hispanic,Female,High school,Never Married,Someone else
